"Disease","OPCS4code","OPCS4codeDescr"
"Chronic sinusitis","E12","Operations on maxillary antrum using sublabial approach"
"Chronic sinusitis","E12.1","Ligation of maxillary artery using sublabial approach"
"Chronic sinusitis","E12.2","Drainage of maxillary antrum using sublabial approach"
"Chronic sinusitis","E12.3","Irrigation of maxillary antrum using sublabial approach"
"Chronic sinusitis","E12.9","Unspecified operations on maxillary antrum using sublabial approach"
"Chronic sinusitis","E13","Other operations on maxillary antrum"
"Chronic sinusitis","E13.1","Drainage of maxillary antrum NEC"
"Chronic sinusitis","E13.2","Excision of lesion of maxillary antrum"
"Chronic sinusitis","E13.3","Intranasal antrostomy"
"Chronic sinusitis","E13.4","Biopsy of lesion of maxillary antrum"
"Chronic sinusitis","E13.5","Closure of fistula between maxillary antrum and mouth"
"Chronic sinusitis","E13.6","Puncture of maxillary antrum"
"Chronic sinusitis","E13.8","Other specified other operations on maxillary antrum"
"Chronic sinusitis","E13.9","Unspecified other operations on maxillary antrum"
"Chronic sinusitis","E14","Operations on frontal sinus"
"Chronic sinusitis","E14.1","External frontoethmoidectomy"
"Chronic sinusitis","E14.2","Intranasal ethmoidectomy"
"Chronic sinusitis","E14.3","External ethmoidectomy"
"Chronic sinusitis","E14.4","Transantral ethmoidectomy"
"Chronic sinusitis","E14.5","Bone flap to frontal sinus"
"Chronic sinusitis","E14.6","Trephine of frontal sinus"
"Chronic sinusitis","E14.8","Other specified operations on frontal sinus"
"Chronic sinusitis","E14.7","Median drainage of frontal sinus"
"Chronic sinusitis","E14.9","Unspecified operations on frontal sinus"
"Chronic sinusitis","E15","Operations on sphenoid sinus"
"Chronic sinusitis","E15.1","Drainage of sphenoid sinus"
"Chronic sinusitis","E15.2","Puncture of sphenoid sinus"
"Chronic sinusitis","E15.3","Repair of sphenoidal sinus"
"Chronic sinusitis","E15.8","Other specified operations on sphenoid sinus"
"Chronic sinusitis","E15.9","Unspecified operations on sphenoid sinus"
"Chronic sinusitis","E17","Operations on unspecified nasal sinus"
"Chronic sinusitis","E17.1","Excision of nasal sinus NEC"
"Chronic sinusitis","E17.2","Excision of lesion of nasal sinus NEC"
"Chronic sinusitis","E17.3","Biopsy of lesion of nasal sinus NEC"
"Chronic sinusitis","E17.4","Lateral rhinotomy into nasal sinus NEC"
"Chronic sinusitis","E17.8","Other specified operations on unspecified nasal sinus"
"Chronic sinusitis","E17.9","Unspecified operations on unspecified nasal sinus"
"Chronic sinusitis","E16.1","Frontal sinus osteoplasty"
"Chronic sinusitis","E16.8","Other specified other operations on frontal sinus"
"Chronic sinusitis","E16.9","Unspecified other operations on frontal sinus"
"Chronic sinusitis","E25.3","Diagnostic endoscopic examination of nasopharynx NEC"
"Chronic sinusitis","Y76.1","Functional endoscopic sinus surgery"
"Chronic sinusitis","Y76.2","Functional endoscopic nasal surgery"
