"Disease","OPCS4code","OPCS4codeDescr"
"Gastro-oesophageal reflux disease","G24","Antireflux operations"
"Gastro-oesophageal reflux disease","G24.1","Antireflux fundoplication using thoracic approach"
"Gastro-oesophageal reflux disease","G24.2","Antireflux operation using thoracic approach NEC"
"Gastro-oesophageal reflux disease","G24.3","Antireflux fundoplication using abdominal approach"
"Gastro-oesophageal reflux disease","G24.4","Antireflux gastropexy"
"Gastro-oesophageal reflux disease","G24.8","Other specified antireflux operations"
"Gastro-oesophageal reflux disease","G24.9","Unspecified antireflux operations"
"Gastro-oesophageal reflux disease","G25","Revision of antireflux operations"
"Gastro-oesophageal reflux disease","G25.8","Other specified revision of antireflux operations"
"Gastro-oesophageal reflux disease","G25.9","Unspecified revision of antireflux operations"
