Condition,ReadCode,MedCode,ReadTerm,Category
Alcohol consumption,1364.00,322,Moderate drinker - 3-6u/day,Current drinker
Alcohol consumption,136J.00,956,Social drinker,Current drinker
Alcohol consumption,136G.00,2689,Beer drinker,Current drinker
Alcohol consumption,E250.14,3782,Intoxication - alcohol,Current drinker
Alcohol consumption,136H.00,12968,Drinks beer and spirits,Current drinker
Alcohol consumption,136I.00,12969,Drinks wine,Current drinker
Alcohol consumption,136F.00,12971,Spirit drinker,Current drinker
Alcohol consumption,1363.00,12972,Light drinker - 1-2u/day,Current drinker
Alcohol consumption,1362.00,12975,Trivial drinker - <1u/day,Current drinker
Alcohol consumption,136N.00,12980,Light drinker,Current drinker
Alcohol consumption,136O.00,12985,Moderate drinker,Current drinker
Alcohol consumption,136L.00,26472,Alcohol intake within recommended sensible limits,Current drinker
Alcohol consumption,E250.12,27518,Hangover (alcohol),Current drinker
Alcohol consumption,Z191200,61383,Planned reduction of alcohol consumption,Current drinker
Alcohol consumption,136d.00,103230,Lower risk drinking,Current drinker
Alcohol consumption,1367.00,967,Stopped drinking alcohol,Ex drinker
Alcohol consumption,E250000,669,"Nondependent alcohol abuse, unspecified",Excess drinker
Alcohol consumption,E23..12,1399,Alcohol problem drinking,Excess drinker
Alcohol consumption,E010.12,1476,Delirium tremens,Excess drinker
Alcohol consumption,1365.00,1618,Heavy drinker - 7-9u/day,Excess drinker
Alcohol consumption,E23..11,2081,Alcoholism,Excess drinker
Alcohol consumption,E01y000,2082,Alcohol withdrawal syndrome,Excess drinker
Alcohol consumption,E23..00,2084,Alcohol dependence syndrome,Excess drinker
Alcohol consumption,E230.00,5740,Acute alcoholic intoxication in alcoholism,Excess drinker
Alcohol consumption,Eu10212,5758,[x]chronic alcoholism,Excess drinker
Alcohol consumption,E23z.00,6169,Alcohol dependence syndrome nos,Excess drinker
Alcohol consumption,Eu10511,6467,[x]alcoholic hallucinosis,Excess drinker
Alcohol consumption,E250.00,7746,Nondependent alcohol abuse,Excess drinker
Alcohol consumption,ZV6D600,8030,[v]alcohol abuse counselling and surveillance,Excess drinker
Alcohol consumption,136P.00,8999,Heavy drinker,Excess drinker
Alcohol consumption,Eu10011,9508,[x]acute alcoholic drunkenness,Excess drinker
Alcohol consumption,2577.11,10161,O/e - alcoholic breath,Excess drinker
Alcohol consumption,9k1..00,11740,Alcohol misuse - enhanced services administration,Excess drinker
Alcohol consumption,E250.11,12271,Drunkenness nos,Excess drinker
Alcohol consumption,66e..00,12442,Alcohol disorder monitoring,Excess drinker
Alcohol consumption,E250200,12974,"Nondependent alcohol abuse, episodic",Excess drinker
Alcohol consumption,1366.00,12977,Very heavy drinker - >9u/day,Excess drinker
Alcohol consumption,136K.00,12982,Alcohol intake above recommended sensible limits,Excess drinker
Alcohol consumption,136Q.00,12984,Very heavy drinker,Excess drinker
Alcohol consumption,E010.00,16225,Alcohol withdrawal delirium,Excess drinker
Alcohol consumption,ZV11311,16587,[V]Problems related to lifestyle alcohol use,Excess drinker
Alcohol consumption,Eu10411,17259,"[x]delirium tremens, alcohol induced",Excess drinker
Alcohol consumption,E250.13,17777,Inebriety nos,Excess drinker
