"Condition","ICD10code","ICD10codeDescr"
"Delivery and/or stillbirth","P95","Fetal death of unspecified cause"
"Delivery and/or stillbirth","Z38","Liveborn infants according to place of birth"
"Delivery and/or stillbirth","Z37","Outcome of delivery"
"Delivery and/or stillbirth","O80","Single spontaneous delivery"
"Early pregnancy loss","O00 "," Ectopic pregnancy "
"Early pregnancy loss","O00.0 "," Abdominal pregnancy "
"Early pregnancy loss","O00.1 "," Tubal pregnancy "
"Early pregnancy loss","O00.2 "," Ovarian pregnancy "
"Early pregnancy loss","O00.8 "," Other ectopic pregnancy "
"Early pregnancy loss","O00.9 "," Ectopic pregnancy, unspecified "
"Early pregnancy loss","O01 "," Hydatidiform mole "
"Early pregnancy loss","O01.0 "," Classical hydatidiform mole "
"Early pregnancy loss","O01.1 "," Incomplete and partial hydatidiform mole "
"Early pregnancy loss","O01.9 "," Hydatidiform mole, unspecified "
"Early pregnancy loss","O02 "," Other abnormal products of conception "
"Early pregnancy loss","O02.0 "," Blighted ovum and nonhydatidiform mole "
"Early pregnancy loss","O02.1 "," Missed abortion "
"Early pregnancy loss","O02.8 "," Other specified abnormal products of conception "
"Early pregnancy loss","O02.9 "," Abnormal product of conception, unspecified "
"Early pregnancy loss","O03 "," Spontaneous abortion "
"Early pregnancy loss","O03.0 "," Incomplete, complicated by genital tract and pelvic infection"
"Early pregnancy loss","O03.1 "," Incomplete, complicated by delayed or excessive haemorrhage"
"Early pregnancy loss","O03.2 "," Incomplete, complicated by embolism"
"Early pregnancy loss","O03.3 "," Incomplete, with other and unspecified complications"
"Early pregnancy loss","O03.4 "," Incomplete, without complication"
"Early pregnancy loss","O03.5 "," Complete or unspecified, complicated by genital tract and pelvic infection"
"Early pregnancy loss","O03.6 "," Complete or unspecified, complicated by delayed or excessive haemorrhage"
"Early pregnancy loss","O03.7 "," Complete or unspecified, complicated by embolism"
"Early pregnancy loss","O03.8 "," Complete or unspecified, with other and unspecified complications"
"Early pregnancy loss","O03.9 "," Complete or unspecified, without complication"
"Early pregnancy loss","O04 "," Medical abortion "
"Early pregnancy loss","O04.0 "," Incomplete, complicated by genital tract and pelvic infection"
"Early pregnancy loss","O04.1 "," Incomplete, complicated by delayed or excessive haemorrhage"
"Early pregnancy loss","O04.2 "," Incomplete, complicated by embolism"
"Early pregnancy loss","O04.3 "," Incomplete, with other and unspecified complications"
"Early pregnancy loss","O04.4 "," Incomplete, without complication"
