Readcode,Disease,Medcode,ReadcodeDescr,Category,CodingSystem,Provenance
14A2.00,Hypertension,2666,H/O: hypertension,History of hypertension (1),NA,Kuan
2126100,Hypertension,3269,Hypertension resolved,History of hypertension (1),NA,Kuan
212K.00,Hypertension,19342,Hypertension resolved,History of hypertension (1),NA,Kuan
6146200,Hypertension,32976,Hypertension induced by oral contraceptive pill,Secondary hypertension (4),NA,Kuan
6624,Hypertension,8296,Borderline hyperten:yearly obs,Hypertension (3),NA,Kuan
6627,Hypertension,16565,Good hypertension control,Hypertension (3),NA,Kuan
6628,Hypertension,27511,Poor hypertension control,Hypertension (3),NA,Kuan
662b.00,Hypertension,18590,Moderate hypertension control,Hypertension (3),NA,Kuan
662c.00,Hypertension,18482,Hypertension six month review,Hypertension (3),NA,Kuan
662d.00,Hypertension,19070,Hypertension annual review,Hypertension (3),NA,Kuan
662F.00,Hypertension,21826,Hypertension treatm. started,Hypertension (3),NA,Kuan
662G.00,Hypertension,13188,Hypertensive treatm.changed,Hypertension (3),NA,Kuan
662O.00,Hypertension,3425,On treatment for hypertension,Hypertension (3),NA,Kuan
662r.00,Hypertension,95359,Trial withdrawal of antihypertensive therapy,Hypertension (3),NA,Kuan
7Q01.00,Hypertension,85944,High cost hypertension drugs,Hypertension (3),NA,Kuan
8B26.00,Hypertension,18057,Antihypertensive therapy,Hypertension (3),NA,Kuan
8BL0.00,Hypertension,11056,Patient on maximal tolerated antihypertensive therapy,Hypertension (3),NA,Kuan
8I3N.00,Hypertension,22333,Hypertension treatment refused,Hypertension (3),NA,Kuan
9OI9.00,Hypertension,66645,Hypertens.monitor deleted,History of hypertension (1),NA,Kuan
F404200,Hypertension,37086,Blind hypertensive eye,Hypertension (3),NA,Kuan
F421300,Hypertension,6702,Hypertensive retinopathy,Hypertension (3),NA,Kuan
G2...00,Hypertension,204,Hypertensive disease,Hypertension (3),readcode,Kuan and Cambridge
G2...11,Hypertension,8732,BP - hypertensive disease,Hypertension (3),NA,Kuan
G20..00,Hypertension,799,Essential hypertension,Hypertension (3),readcode,Kuan and Cambridge
G20..11,Hypertension,351,High blood pressure,NA,readcode,Cambridge
G200.00,Hypertension,15377,Malignant essential hypertension,Hypertension (3),readcode,Kuan and Cambridge
G201.00,Hypertension,1894,Benign essential hypertension,Hypertension (3),readcode,Kuan and Cambridge
G202.00,Hypertension,4372,Systolic hypertension,Hypertension (3),readcode,Kuan and Cambridge
G203.00,Hypertension,83473,Diastolic hypertension,Hypertension (3),readcode,Kuan and Cambridge
G20z.00,Hypertension,10818,Essential hypertension NOS,Hypertension (3),readcode,Kuan and Cambridge
G20z.11,Hypertension,3712,Hypertension NOS,Hypertension (3),readcode,Kuan and Cambridge
G21..00,Hypertension,16292,Hypertensive heart disease,Hypertension (3),NA,Kuan
G210.00,Hypertension,50157,Malignant hypertensive heart disease,Hypertension (3),NA,Kuan
G210000,Hypertension,95334,Malignant hypertensive heart disease without CCF,Hypertension (3),NA,Kuan
G210100,Hypertension,72668,Malignant hypertensive heart disease with CCF,Hypertension (3),NA,Kuan
G211.00,Hypertension,52427,Benign hypertensive heart disease,Hypertension (3),NA,Kuan
G211000,Hypertension,61660,Benign hypertensive heart disease without CCF,Hypertension (3),NA,Kuan
G211100,Hypertension,52127,Benign hypertensive heart disease with CCF,Hypertension (3),NA,Kuan
G21z.00,Hypertension,31464,Hypertensive heart disease NOS,Hypertension (3),NA,Kuan
G21z000,Hypertension,61166,Hypertensive heart disease NOS without CCF,Hypertension (3),NA,Kuan
G21z011,Hypertension,8857,Cardiomegaly - hypertensive,Hypertension (3),NA,Kuan
G21z100,Hypertension,62718,Hypertensive heart disease NOS with CCF,Hypertension (3),NA,Kuan
G21zz00,Hypertension,16173,Hypertensive heart disease NOS,Hypertension (3),NA,Kuan
G22..00,Hypertension,4668,Hypertensive renal disease,Hypertension (3),NA,Kuan
G220.00,Hypertension,39649,Malignant hypertensive renal disease,Hypertension (3),NA,Kuan
G221.00,Hypertension,43935,Benign hypertensive renal disease,Hypertension (3),NA,Kuan
G222.00,Hypertension,32423,Hypertensive renal disease with renal failure,Hypertension (3),NA,Kuan
G22z.00,Hypertension,15106,Hypertensive renal disease NOS,Hypertension (3),NA,Kuan
G22z.11,Hypertension,29310,Renal hypertension,Hypertension (3),NA,Kuan
G23..00,Hypertension,63466,Hypertensive heart and renal disease,Hypertension (3),NA,Kuan
G230.00,Hypertension,67232,Malignant hypertensive heart and renal disease,Hypertension (3),NA,Kuan
G231.00,Hypertension,63000,Benign hypertensive heart and renal disease,Hypertension (3),NA,Kuan
G232.00,Hypertension,21837,Hypertensive heart&renal dis wth (congestive) heart failure,Hypertension (3),NA,Kuan
G233.00,Hypertension,28684,Hypertensive heart and renal disease with renal failure,Hypertension (3),NA,Kuan
G234.00,Hypertension,57987,Hyperten heart&renal dis+both(congestv)heart and renal fail,Hypertension (3),NA,Kuan
G23z.00,Hypertension,68659,Hypertensive heart and renal disease NOS,Hypertension (3),NA,Kuan
G24..00,Hypertension,7329,Secondary hypertension,Secondary hypertension (4),readcode,Kuan and Cambridge
G240.00,Hypertension,31755,Secondary malignant hypertension,Secondary hypertension (4),readcode,Kuan and Cambridge
G240000,Hypertension,59383,Secondary malignant renovascular hypertension,Secondary hypertension (4),readcode,Kuan and Cambridge
G240z00,Hypertension,73293,Secondary malignant hypertension NOS,Secondary hypertension (4),readcode,Kuan and Cambridge
G241.00,Hypertension,57288,Secondary benign hypertension,Secondary hypertension (4),readcode,Kuan and Cambridge
G241000,Hypertension,25371,Secondary benign renovascular hypertension,Secondary hypertension (4),readcode,Kuan and Cambridge
G241z00,Hypertension,51635,Secondary benign hypertension NOS,Secondary hypertension (4),readcode,Kuan and Cambridge
G244.00,Hypertension,34744,Hypertension secondary to endocrine disorders,Secondary hypertension (4),readcode,Kuan and Cambridge
G24z.00,Hypertension,16059,Secondary hypertension NOS,Secondary hypertension (4),readcode,Kuan and Cambridge
G24z000,Hypertension,31387,Secondary renovascular hypertension NOS,Secondary hypertension (4),readcode,Kuan and Cambridge
G24z100,Hypertension,31341,Hypertension secondary to drug,Secondary hypertension (4),readcode,Kuan and Cambridge
G24zz00,Hypertension,42229,Secondary hypertension NOS,Secondary hypertension (4),readcode,Kuan and Cambridge
G2y..00,Hypertension,18765,Other specified hypertensive disease,Hypertension (3),readcode,Kuan and Cambridge
G2z..00,Hypertension,7057,Hypertensive disease NOS,Hypertension (3),readcode,Kuan and Cambridge
G672.00,Hypertension,3979,Hypertensive encephalopathy,Hypertension (3),NA,Kuan
G672.11,Hypertension,31816,Hypertensive crisis,Hypertension (3),NA,Kuan
Gyu2.00,Hypertension,69753,[X]Hypertensive diseases,Hypertension (3),readcode,Kuan and Cambridge
Gyu2000,Hypertension,102458,[X]Other secondary hypertension,NA,readcode,Cambridge
Gyu2100,Hypertension,97533,[X]Hypertension secondary to other renal disorders,Secondary hypertension (4),NA,Kuan
L122.00,Hypertension,66567,Other pre-existing hypertension in preg/childbirth/puerp,Hypertension (3),NA,Kuan
L122000,Hypertension,73586,Other pre-existing hypertension in preg/childb/puerp unspec,Hypertension (3),NA,Kuan
L122100,Hypertension,72030,Other pre-existing hypertension in preg/childb/puerp - deliv,Hypertension (3),NA,Kuan
L122300,Hypertension,96743,Other pre-exist hypertension in preg/childb/puerp-not deliv,Hypertension (3),NA,Kuan
L122z00,Hypertension,62432,Other pre-existing hypertension in preg/childb/puerp NOS,Hypertension (3),NA,Kuan
L127.00,Hypertension,43664,Pre-eclampsia or eclampsia with pre-existing hypertension,Hypertension (3),NA,Kuan
L127z00,Hypertension,93055,Pre-eclampsia or eclampsia + pre-existing hypertension NOS,Hypertension (3),NA,Kuan
L128.00,Hypertension,44549,Pre-exist hypertension compl preg childbirth and puerperium,Hypertension (3),NA,Kuan
L128000,Hypertension,60655,Pre-exist hyperten heart dis compl preg childbth+puerperium,Hypertension (3),NA,Kuan
L128200,Hypertension,52621,Pre-exist 2ndry hypertens comp preg childbth and puerperium,Hypertension (3),NA,Kuan
TJC7.00,Hypertension,21660,Adverse reaction to other antihypertensives,Hypertension (3),NA,Kuan
TJC7z00,Hypertension,20497,Adverse reaction to antihypertensives NOS,Hypertension (3),NA,Kuan
U60C500,Hypertension,63164,"[X]Oth antihyperten drug caus advers eff in therap use, NEC",Hypertension (3),NA,Kuan
U60C511,Hypertension,30770,[X] Adverse reaction to other antihypertensives,Hypertension (3),NA,Kuan
U60C51A,Hypertension,44350,[X] Adverse reaction to antihypertensives NOS,Hypertension (3),NA,Kuan
