Disease,ReadCode,MedCode,ReadTerm,,,
Diabetic neurological complications,C106000,67853,"Diabetes mellitus, juvenile, + neurological manifestation",,,
Diabetic neurological complications,C106100,39317,"Diabetes mellitus, adult onset, + neurological manifestation",,,
Diabetic neurological complications,C106.00,16230,Diabetes mellitus with neurological manifestation,,,
Diabetic neurological complications,C106.11,59903,Diabetic amyotrophy,,,
Diabetic neurological complications,C106.12,7795,Diabetes mellitus with neuropathy,,,
Diabetic neurological complications,C106.13,16491,Diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C106y00,61523,Other specified diabetes mellitus with neurological comps,,,
Diabetic neurological complications,C106z00,22573,Diabetes mellitus NOS with neurological manifestation,,,
Diabetic neurological complications,C108200,52283,Insulin-dependent diabetes mellitus with neurological comps,,,
Diabetic neurological complications,C108211,49146,Type I diabetes mellitus with neurological complications,,,
Diabetic neurological complications,C108212,61829,Type 1 diabetes mellitus with neurological complications,,,
Diabetic neurological complications,C108B00,24694,Insulin dependent diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C108B11,99231,Type I diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C108C00,41716,Insulin dependent diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C108J00,39809,Insulin dependent diab mell with neuropathic arthropathy,,,
Diabetic neurological complications,C108J11,60208,Type I diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,C108J12,18230,Type 1 diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,C109200,55842,Non-insulin-dependent diabetes mellitus with neuro comps,,,
Diabetic neurological complications,C109211,67905,Type II diabetes mellitus with neurological complications,,,
Diabetic neurological complications,C109212,45919,Type 2 diabetes mellitus with neurological complications,,,
Diabetic neurological complications,C109A00,72320,Non-insulin dependent diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C109A11,50813,Type II diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C109B00,45467,Non-insulin dependent diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C109B11,47409,Type II diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C109B12,109865,Type 2 diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C109H00,40962,Non-insulin dependent d m with neuropathic arthropathy,,,
Diabetic neurological complications,C109H11,47816,Type II diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,C109H12,66965,Type 2 diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,C10E200,42831,Type 1 diabetes mellitus with neurological complications,,,
Diabetic neurological complications,C10E212,101735,Insulin-dependent diabetes mellitus with neurological comps,,,
Diabetic neurological complications,C10EB00,68105,Type 1 diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C10EC00,46301,Type 1 diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C10EC11,91943,Type I diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C10EC12,101311,Insulin dependent diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C10EJ00,54008,Type 1 diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,C10F200,34268,Type 2 diabetes mellitus with neurological complications,,,
Diabetic neurological complications,C10F211,98616,Type II diabetes mellitus with neurological complications,,,
Diabetic neurological complications,C10FA00,62674,Type 2 diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C10FA11,95351,Type II diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C10FB00,18425,Type 2 diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C10FB11,50527,Type II diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C10FH00,35385,Type 2 diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,C10FH11,109197,Type II diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,F171100,17067,Autonomic neuropathy due to diabetes,,,
Diabetic neurological complications,F345000,44033,Diabetic mononeuritis multiplex,,,
Diabetic neurological complications,F35z000,17247,Diabetic mononeuritis NOS,,,
Diabetic neurological complications,F372000,48078,Acute painful diabetic neuropathy,,,
Diabetic neurological complications,F372100,35785,Chronic painful diabetic neuropathy,,,
Diabetic neurological complications,F372200,24571,Asymptomatic diabetic neuropathy,,,
Diabetic neurological complications,F372.00,31790,Polyneuropathy in diabetes,,,
Diabetic neurological complications,F372.11,5002,Diabetic polyneuropathy,,,
Diabetic neurological complications,F372.12,2342,Diabetic neuropathy,,,
