Readcode,Disease,Medcode,ReadcodeDescr,Category,CodingSystem,Provenance
741..00,Chronic sinusitis,4640,Nasal sinus operations,NA,readcode,Cambridge
7410.00,Chronic sinusitis,23740,Operations on maxillary antrum using sublabial approach,NA,readcode,Cambridge
7410000,Chronic sinusitis,32764,Ligation of maxillary artery using sublabial approach,NA,readcode,Cambridge
7410100,Chronic sinusitis,3938,Caldwell Luc drainage of maxillary antrum,NA,readcode,Cambridge
7410200,Chronic sinusitis,57098,Irrigation of maxillary antrum using sublabial approach,NA,readcode,Cambridge
7410300,Chronic sinusitis,61629,Transantral vidian nerve neurectomy using sublabial approach,NA,readcode,Cambridge
7410y00,Chronic sinusitis,96692,Operation on maxillary antrum using sublabial approach OS,NA,readcode,Cambridge
7410z00,Chronic sinusitis,105781,Operation on maxillary antrum using sublabial approach NOS,NA,readcode,Cambridge
7411.00,Chronic sinusitis,7981,Other operations on maxillary antrum,NA,readcode,Cambridge
7411.11,Chronic sinusitis,28764,Reconstruction of maxillary antrum,NA,readcode,Cambridge
7411000,Chronic sinusitis,41457,Drainage of maxillary antrum NEC,NA,readcode,Cambridge
7411100,Chronic sinusitis,54292,Excision of lesion of maxillary antrum,NA,readcode,Cambridge
7411200,Chronic sinusitis,848,Intranasal antrostomy,NA,readcode,Cambridge
7411211,Chronic sinusitis,34257,Intranasal antrostomy and drainage,NA,readcode,Cambridge
7411300,Chronic sinusitis,44876,Biopsy of lesion of maxillary antrum,NA,readcode,Cambridge
7411400,Chronic sinusitis,44432,Closure of fistula between maxillary antrum and mouth,NA,readcode,Cambridge
7411500,Chronic sinusitis,18271,Puncture of maxillary antrum,NA,readcode,Cambridge
7411511,Chronic sinusitis,48497,Irrigation of maxillary antrum NEC,NA,readcode,Cambridge
7411600,Chronic sinusitis,24535,Removal of antrochoanal polyp,NA,readcode,Cambridge
7411700,Chronic sinusitis,41877,Radical maxillary antrotomy,NA,readcode,Cambridge
7411711,Chronic sinusitis,95634,Denker radical maxillary antrotomy,NA,readcode,Cambridge
7411800,Chronic sinusitis,95857,Direct closure of defect of maxilla,NA,readcode,Cambridge
7411900,Chronic sinusitis,70776,Reconstruction of defect of maxilla with skin graft,NA,readcode,Cambridge
7411A00,Chronic sinusitis,97338,Reconstruction of maxilla with local flap,NA,readcode,Cambridge
7411D00,Chronic sinusitis,34107,Reconstruction of maxilla with bone graft,NA,readcode,Cambridge
7411E00,Chronic sinusitis,33956,Intranasal antrostomy and biopsy of maxillary antrum,NA,readcode,Cambridge
7411F00,Chronic sinusitis,33603,Intranasal antrostomy and excision lesion maxillary antrum,NA,readcode,Cambridge
7411G00,Chronic sinusitis,25174,Bilateral antral washout,NA,readcode,Cambridge
7411y00,Chronic sinusitis,53961,Other specified other operation on maxillary antrum,NA,readcode,Cambridge
7411z00,Chronic sinusitis,19995,Other operation on maxillary antrum NOS,NA,readcode,Cambridge
7412.00,Chronic sinusitis,39381,Operations on frontal sinus,NA,readcode,Cambridge
7412000,Chronic sinusitis,12747,External frontoethmoidectomy,NA,readcode,Cambridge
7412011,Chronic sinusitis,63552,Killian external frontoethmoidectomy,NA,readcode,Cambridge
7412013,Chronic sinusitis,66885,Ogston external frontoethmoidectomy,NA,readcode,Cambridge
7412100,Chronic sinusitis,1673,Intranasal ethmoidectomy,NA,readcode,Cambridge
7412200,Chronic sinusitis,30744,External ethmoidectomy,NA,readcode,Cambridge
