Disease,ReadCode,MedCode,ReadTerm,
Epilepsy,1473.00,3783,H/O: epilepsy,
Epilepsy,1B1W.00,38919,Transient epileptic amnesia,
Epilepsy,1O30.00,22341,Epilepsy confirmed,
Epilepsy,2126000,8385,Epilepsy resolved,
Epilepsy,212J.00,12848,Epilepsy resolved,
Epilepsy,2932,85082,NA,
Epilepsy,3032EP,82462,NA,
Epilepsy,342 E,89130,NA,
Epilepsy,3450,78393,NA,
Epilepsy,3451,76778,NA,
Epilepsy,3453AT,87815,NA,
Epilepsy,3453P,85350,NA,
Epilepsy,3453T,74303,NA,
Epilepsy,3459A,82399,NA,
Epilepsy,3459AB,92813,NA,
Epilepsy,3459BA,86106,NA,
Epilepsy,3459C,84691,NA,
Epilepsy,3459CL,88904,NA,
Epilepsy,3459D,79623,NA,
Epilepsy,3459F,74519,NA,
Epilepsy,3459M,85904,NA,
Epilepsy,3459N,74525,NA,
Epilepsy,3459R,78769,NA,
Epilepsy,6110.00,100652,Contraceptive advice for patients with epilepsy,
Epilepsy,667..00,6983,Epilepsy monitoring,
Epilepsy,6672.00,26511,Follow-up epilepsy assessment,
Epilepsy,6674.00,50012,Epilepsy associated problems,
Epilepsy,6675.00,8262,Fit frequency,
Epilepsy,6676.00,7807,Last fit,
Epilepsy,6677.00,13073,Epilepsy drug side effects,
Epilepsy,6678.00,26512,Epilepsy treatment changed,
Epilepsy,6679.00,34473,Epilepsy treatment started,
Epilepsy,667A.00,20566,Epilepsy treatment stopped,
Epilepsy,667B.00,4602,Nocturnal epilepsy,
Epilepsy,667C.00,19550,Epilepsy control good,
Epilepsy,667D.00,13220,Epilepsy control poor,
Epilepsy,667E.00,19551,Epilepsy care arrangement,
Epilepsy,667F.00,11015,Seizure free >12 months,
Epilepsy,667G.00,26620,Epilepsy restricts employment,
Epilepsy,667H.00,50702,Epilepsy prevents employment,
Epilepsy,667J.00,40863,Epilepsy impairs education,
Epilepsy,667K.00,26619,Epilepsy limits activities,
Epilepsy,667L.00,19552,Epilepsy does not limit activities,
Epilepsy,667M.00,55706,Epilepsy management plan given,
Epilepsy,667N.00,22991,Epilepsy severity,
Epilepsy,667P.00,13219,No seizures on treatment,
Epilepsy,667Q.00,26618,1 to 12 seizures a year,
