Disease,ReadCode,MedCode,ReadTerm
Primary Malignancy_Other Skin and subcutaneous tissue,7G05600,11834,Excision biopsy of rodent ulcer
Primary Malignancy_Other Skin and subcutaneous tissue,7G05D00,93402,Excision biopsy of basal cell carcinoma
Primary Malignancy_Other Skin and subcutaneous tissue,B330.00,18245,Malignant neoplasm of skin of lip
Primary Malignancy_Other Skin and subcutaneous tissue,B331000,36731,Malignant neoplasm of canthus
Primary Malignancy_Other Skin and subcutaneous tissue,B331100,55550,Malignant neoplasm of upper eyelid
Primary Malignancy_Other Skin and subcutaneous tissue,B331200,41958,Malignant neoplasm of lower eyelid
Primary Malignancy_Other Skin and subcutaneous tissue,B331.00,43087,Malignant neoplasm of eyelid including canthus
Primary Malignancy_Other Skin and subcutaneous tissue,B332000,33997,Malignant neoplasm of skin of auricle (ear)
Primary Malignancy_Other Skin and subcutaneous tissue,B332100,62080,Malignant neoplasm of skin of external auditory meatus
Primary Malignancy_Other Skin and subcutaneous tissue,B332200,33271,Malignant neoplasm of pinna NEC
Primary Malignancy_Other Skin and subcutaneous tissue,B332.00,53515,Malignant neoplasm skin of ear and external auricular canal
Primary Malignancy_Other Skin and subcutaneous tissue,B332z00,62399,Malig neop skin of ear and external auricular canal NOS
Primary Malignancy_Other Skin and subcutaneous tissue,B333000,30645,"Malignant neoplasm of skin of cheek, external"
Primary Malignancy_Other Skin and subcutaneous tissue,B333100,49403,Malignant neoplasm of skin of chin
Primary Malignancy_Other Skin and subcutaneous tissue,B333200,55670,Malignant neoplasm of skin of eyebrow
Primary Malignancy_Other Skin and subcutaneous tissue,B333300,30576,Malignant neoplasm of skin of forehead
Primary Malignancy_Other Skin and subcutaneous tissue,B333400,16202,Malignant neoplasm of skin of nose (external)
Primary Malignancy_Other Skin and subcutaneous tissue,B333500,21327,Malignant neoplasm of skin of temple
Primary Malignancy_Other Skin and subcutaneous tissue,B333.00,27370,Malignant neoplasm skin of other and unspecified parts face
Primary Malignancy_Other Skin and subcutaneous tissue,B333z00,46008,Malignant neoplasm skin other and unspec part of face NOS
Primary Malignancy_Other Skin and subcutaneous tissue,B334000,37165,Malignant neoplasm of scalp
Primary Malignancy_Other Skin and subcutaneous tissue,B334100,43619,Malignant neoplasm of skin of neck
Primary Malignancy_Other Skin and subcutaneous tissue,B334.00,54234,Malignant neoplasm of scalp and skin of neck
Primary Malignancy_Other Skin and subcutaneous tissue,B334z00,73760,Malignant neoplasm of scalp or skin of neck NOS
Primary Malignancy_Other Skin and subcutaneous tissue,B335000,70380,Malignant neoplasm of skin of axillary fold
Primary Malignancy_Other Skin and subcutaneous tissue,B335100,37969,"Malignant neoplasm of skin of chest, excluding breast"
Primary Malignancy_Other Skin and subcutaneous tissue,B335200,30543,Malignant neoplasm of skin of breast
Primary Malignancy_Other Skin and subcutaneous tissue,B335300,18618,Malignant neoplasm of skin of abdominal wall
Primary Malignancy_Other Skin and subcutaneous tissue,B335400,67748,Malignant neoplasm of skin of umbilicus
Primary Malignancy_Other Skin and subcutaneous tissue,B335500,66319,Malignant neoplasm of skin of groin
Primary Malignancy_Other Skin and subcutaneous tissue,B335600,46458,Malignant neoplasm of skin of perineum
Primary Malignancy_Other Skin and subcutaneous tissue,B335700,45077,Malignant neoplasm of skin of back
Primary Malignancy_Other Skin and subcutaneous tissue,B335800,62305,Malignant neoplasm of skin of buttock
Primary Malignancy_Other Skin and subcutaneous tissue,B335900,23480,Malignant neoplasm of perianal skin
Primary Malignancy_Other Skin and subcutaneous tissue,B335A00,66447,Malignant neoplasm of skin of scapular region
Primary Malignancy_Other Skin and subcutaneous tissue,B335.00,57446,"Malignant neoplasm of skin of trunk, excluding scrotum"
Primary Malignancy_Other Skin and subcutaneous tissue,B335z00,15868,"Malignant neoplasm of skin of trunk, excluding scrotum, NOS"
