Readcode,Disease,Medcode,ReadcodeDescr,Category,CodingSystem,Provenance
136S.00,Alcohol Problems,19494,Hazardous alcohol use,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
136T.00,Alcohol Problems,30695,Harmful alcohol use,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
136W.00,Alcohol Problems,94670,Alcohol misuse,Diagnosis of Alcohol Problems,NA,Kuan
13Y8.00,Alcohol Problems,18156,Alcoholics anonymous,Diagnosis of Alcohol Problems,NA,Kuan
1462.00,Alcohol Problems,8430,H/O: alcoholism,History of Alcohol Problems,NA,Kuan
1B1c.00,Alcohol Problems,38061,Alcohol induced hallucinations,Diagnosis of Alcohol Problems,NA,Kuan
63C7.00,Alcohol Problems,17266,Maternal alcohol abuse,NA,readcode,Cambridge
66e..00,Alcohol Problems,12442,Alcohol disorder monitoring,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
66e0.00,Alcohol Problems,32964,Alcohol abuse monitoring,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
7P22100,Alcohol Problems,56410,Delivery of rehabilitation for alcohol addiction,Diagnosis of Alcohol Problems,NA,Kuan
8BA8.00,Alcohol Problems,2083,Alcohol detoxification,Diagnosis of Alcohol Problems,NA,Kuan
8CAv.00,Alcohol Problems,97309,Advised to contact primary care alcohol worker,Diagnosis of Alcohol Problems,NA,Kuan
8G32.00,Alcohol Problems,29691,Aversion therapy - alcoholism,Diagnosis of Alcohol Problems,NA,Kuan
8H35.00,Alcohol Problems,21650,Admitted to alcohol detoxification centre,Diagnosis of Alcohol Problems,NA,Kuan
8H7p.00,Alcohol Problems,9849,Referral to community alcohol team,Diagnosis of Alcohol Problems,NA,Kuan
8HkG.00,Alcohol Problems,94553,Referral to specialist alcohol treatment service,Diagnosis of Alcohol Problems,NA,Kuan
8HkJ.00,Alcohol Problems,96993,Referral to alcohol brief intervention service,Diagnosis of Alcohol Problems,NA,Kuan
9k1..00,Alcohol Problems,11740,Alcohol misuse - enhanced services administration,Diagnosis of Alcohol Problems,NA,Kuan
9k12.00,Alcohol Problems,63529,Alcohol misuse - enhanced service completed,Diagnosis of Alcohol Problems,NA,Kuan
9k1A.00,Alcohol Problems,96053,Brief intervention for excessive alcohol consumptn completed,Diagnosis of Alcohol Problems,NA,Kuan
9k1B.00,Alcohol Problems,96054,Extended intervention for excessive alcohol consumptn complt,Diagnosis of Alcohol Problems,NA,Kuan
9NN2.00,Alcohol Problems,9489,Under care of community alcohol team,Diagnosis of Alcohol Problems,NA,Kuan
C150500,Alcohol Problems,65754,Alcohol-induced pseudo-Cushing's syndrome,Diagnosis of Alcohol Problems,NA,Kuan
C251.11,Alcohol Problems,4501,Wernicke's encephalopathy,Diagnosis of Alcohol Problems,NA,Kuan
C253.00,Alcohol Problems,11107,Wernicke's encephalopathy,Diagnosis of Alcohol Problems,NA,Kuan
E01..00,Alcohol Problems,16237,Alcoholic psychoses,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E010.00,Alcohol Problems,16225,Alcohol withdrawal delirium,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E010.11,Alcohol Problems,22277,DTs - delirium tremens,Diagnosis of Alcohol Problems,NA,Kuan
E010.12,Alcohol Problems,1476,Delirium tremens,Diagnosis of Alcohol Problems,NA,Kuan
E011.00,Alcohol Problems,20762,Alcohol amnestic syndrome,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E011000,Alcohol Problems,4500,Korsakov's alcoholic psychosis,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E011100,Alcohol Problems,11106,Korsakov's alcoholic psychosis with peripheral neuritis,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E011200,Alcohol Problems,18636,Wernicke-Korsakov syndrome,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E011z00,Alcohol Problems,41920,Alcohol amnestic syndrome NOS,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E012.00,Alcohol Problems,54505,Other alcoholic dementia,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E012.11,Alcohol Problems,27342,Alcoholic dementia NOS,Diagnosis of Alcohol Problems,NA,Kuan
E012000,Alcohol Problems,37946,Chronic alcoholic brain syndrome,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E013.00,Alcohol Problems,25110,Alcohol withdrawal hallucinosis,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E014.00,Alcohol Problems,57939,Pathological alcohol intoxication,NA,readcode,Cambridge
E015.00,Alcohol Problems,30404,Alcoholic paranoia,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E01y.00,Alcohol Problems,33670,Other alcoholic psychosis,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E01y000,Alcohol Problems,2082,Alcohol withdrawal syndrome,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E01yz00,Alcohol Problems,68111,Other alcoholic psychosis NOS,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E01z.00,Alcohol Problems,67651,Alcoholic psychosis NOS,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E23..00,Alcohol Problems,2084,Alcohol dependence syndrome,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E23..11,Alcohol Problems,2081,Alcoholism,Diagnosis of Alcohol Problems,NA,Kuan
E23..12,Alcohol Problems,1399,Alcohol problem drinking,Diagnosis of Alcohol Problems,NA,Kuan
E230.00,Alcohol Problems,5740,Acute alcoholic intoxication in alcoholism,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
E230.11,Alcohol Problems,57714,Alcohol dependence with acute alcoholic intoxication,Diagnosis of Alcohol Problems,NA,Kuan
