Disease,MedCode,ReadCode,ReadTerm
Personality disorder,2076,E21..00,Personality disorders
Personality disorder,5652,E210.00,Paranoid personality disorder
Personality disorder,14979,E211.00,Affective personality disorder
Personality disorder,16178,E211000,Unspecified affective personality disorder
Personality disorder,12228,E211100,Hypomanic personality disorder
Personality disorder,10455,E211200,Depressive personality disorder
Personality disorder,12707,E211300,Cyclothymic personality disorder
Personality disorder,51497,E211z00,Affective personality disorder NOS
Personality disorder,28227,E21..11,Neurotic personality disorder
Personality disorder,3369,E212.00,Schizoid personality disorder
Personality disorder,67130,E212000,Unspecified schizoid personality disorder
Personality disorder,39011,E212100,Introverted personality
Personality disorder,61969,E212200,Schizotypal personality
Personality disorder,14747,E212z00,Schizoid personality disorder NOS
Personality disorder,23597,E213.00,Explosive personality disorder
Personality disorder,6339,E213.11,Aggressive personality
Personality disorder,36043,E213.12,Quarrelsome personality
Personality disorder,20881,E214.00,Compulsive personality disorders
Personality disorder,40057,E214.11,Anancastic personality
Personality disorder,30395,E214000,Anankastic personality
Personality disorder,1293,E214100,Obsessional personality
Personality disorder,34456,E214z00,Compulsive personality disorder NOS
Personality disorder,27481,E215.00,Histrionic personality disorders
Personality disorder,4759,E215.11,Hysterical personality disorders
Personality disorder,44242,E215000,Unspecified histrionic personality disorder
Personality disorder,3709,E215200,Emotionally unstable personality
Personality disorder,67590,E215300,Psychoinfantile personality
Personality disorder,60522,E215z00,Histrionic personality disorder NOS
Personality disorder,4515,E216.00,Inadequate personality disorder
Personality disorder,48796,E216.11,Asthenic personality
Personality disorder,21665,E216.12,Dependent personality
Personality disorder,19931,E216.13,Labile personality
Personality disorder,23977,E217.00,Antisocial or sociopathic personality disorder
Personality disorder,68042,E217.11,Amoral personality
Personality disorder,25146,E21y.00,Other personality disorders
Personality disorder,37289,E21y000,Narcissistic personality disorder
Personality disorder,35642,E21y100,Avoidant personality disorder
Personality disorder,18565,E21y200,Borderline personality disorder
Personality disorder,35763,E21y300,Passive-aggressive personality disorder
Personality disorder,27803,E21y400,Eccentric personality disorder
Personality disorder,1364,E21y500,Immature personality disorder
Personality disorder,70899,E21y600,Masochistic personality disorder
Personality disorder,21077,E21y700,Psychoneurotic personality disorder
Personality disorder,2729,E21y711,Neurotic personality
Personality disorder,15960,E21yz00,Other personality disorder NOS
Personality disorder,20033,E21yz11,Manipulative personality
Personality disorder,15098,E21z.00,Personality disorder NOS
