"Disease","ICD10code","ICD10codeDescr"
"End stage renal disease","N18.5","Chronic kidney disease, stage 5"
"End stage renal disease","I72.9","Aneurysm and dissection of unspecified site"
"End stage renal disease","T82.8","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts"
"End stage renal disease","T82.7","Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts"
"End stage renal disease","N18.9","Chronic kidney disease, unspecified"
"End stage renal disease","T82.4","Mechanical complication of vascular dialysis catheter"
"End stage renal disease","T85.7","Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts"
"End stage renal disease","T86.1","Kidney transplant failure and rejection"
"End stage renal disease","T80.9","Unspecified complication following infusion, transfusion and therapeutic injection"
"End stage renal disease","T80.8","Other complications following infusion, transfusion and therapeutic injection"
"End stage renal disease","Z94.0","Kidney transplant status"
"End stage renal disease","Z99.2","Dependence on renal dialysis"
"End stage renal disease","Z49.2","Other dialysis"
"End stage renal disease","Z49.1","Extracorporeal dialysis"
