"Disease","ICD10code","ICD10codeDescr"
"Primary Malignancy_Other Skin and subcutaneous tissue","C44","Other malignant neoplasms of skin"
"Primary Malignancy_Other Skin and subcutaneous tissue","C44.0","Malignant neoplasm: Skin of lip"
"Primary Malignancy_Other Skin and subcutaneous tissue","C44.1","Malignant neoplasm: Skin of eyelid, including canthus"
"Primary Malignancy_Other Skin and subcutaneous tissue","C44.2","Malignant neoplasm: Skin of ear and external auricular canal"
"Primary Malignancy_Other Skin and subcutaneous tissue","C44.3","Malignant neoplasm: Skin of other and unspecified parts of face"
"Primary Malignancy_Other Skin and subcutaneous tissue","C44.4","Malignant neoplasm: Skin of scalp and neck"
"Primary Malignancy_Other Skin and subcutaneous tissue","C44.5","Malignant neoplasm: Skin of trunk"
"Primary Malignancy_Other Skin and subcutaneous tissue","C44.6","Malignant neoplasm: Skin of upper limb, including shoulder"
"Primary Malignancy_Other Skin and subcutaneous tissue","C44.7","Malignant neoplasm: Skin of lower limb, including hip"
"Primary Malignancy_Other Skin and subcutaneous tissue","C44.9","Malignant neoplasm: Malignant neoplasm of skin, unspecified"
"Primary Malignancy_Other Skin and subcutaneous tissue","C44.8","Malignant neoplasm: Overlapping lesion of skin"
"Primary Malignancy_Other Skin and subcutaneous tissue","Z85.8","Personal history of malignant neoplasms of other organs and systems"
