"Disease","ICD10code","ICD10codeDescr"
"Diabetes","E10.9","Type 1 diabetes mellitus without complications"
"Diabetes","E11.9","Type 2 diabetes mellitus without complications"
"Diabetes","E14.9","Unspecified diabetes mellitus without complications"
"Diabetes","E14.1","Unspecified diabetes mellitus with ketoacidosis"
"Diabetes","E10.1","Type 1 diabetes mellitus with ketoacidosis"
"Diabetes","E11.1","Type 2 diabetes mellitus with ketoacidosis"
"Diabetes","E13.1","Other specified diabetes mellitus with ketoacidosis"
"Diabetes","E14.0","Unspecified diabetes mellitus with coma"
"Diabetes","E10.0","Type 1 diabetes mellitus with coma"
"Diabetes","E11.0","Type 2 diabetes mellitus with coma"
"Diabetes","E13.0","Other specified diabetes mellitus with coma"
"Diabetes","E14.5","Unspecified diabetes mellitus with peripheral circulatory complications"
"Diabetes","E11.5","Type 2 diabetes mellitus with peripheral circulatory complications"
"Diabetes","E10.5","Type 1 diabetes mellitus with peripheral circulatory complications"
"Diabetes","E10.7","Type 1 diabetes mellitus with multiple complications"
"Diabetes","E14.7","Unspecified diabetes mellitus with multiple complications"
"Diabetes","E11.3","Type 2 diabetes mellitus with ophthalmic complications"
"Diabetes","E11.7","Type 2 diabetes mellitus with multiple complications"
"Diabetes","E12.0","Malnutrition-related diabetes mellitus with coma"
"Diabetes","E12.1","Malnutrition-related diabetes mellitus with ketoacidosis"
"Diabetes","E13.9","Other specified diabetes mellitus without complications"
"Diabetes","E13","Other specified diabetes mellitus"
"Diabetes","E14.6","Unspecified diabetes mellitus with other specified complications"
"Diabetes","E14.8","Unspecified diabetes mellitus with unspecified complications"
"Diabetes","E74.8","Other specified disorders of carbohydrate metabolism"
"Diabetes","E83.1","Disorders of iron metabolism"
"Diabetes","E14.2","Unspecified diabetes mellitus with renal complications"
"Diabetes","N25.1","Nephrogenic diabetes insipidus"
"Diabetes","O24.0","Diabetes mellitus in pregnancy: Pre-existing type 1 diabetes mellitus"
"Diabetes","O24.1","Diabetes mellitus in pregnancy: Pre-existing type 2 diabetes mellitus"
"Diabetes","O24.2","Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus"
"Diabetes","O24.3","Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified"
"Diabetes","P70.2","Neonatal diabetes mellitus"
