"Disease","ICD10code","ICD10codeDescr"
"Primary malignancy oesophageal","C15.0","Malignant neoplasm: Cervical part of oesophagus"
"Primary malignancy oesophageal","C15.1","Malignant neoplasm: Thoracic part of oesophagus"
"Primary malignancy oesophageal","C15.2","Malignant neoplasm: Abdominal part of oesophagus"
"Primary malignancy oesophageal","C15.3","Malignant neoplasm: Upper third of oesophagus"
"Primary malignancy oesophageal","C15.4","Malignant neoplasm: Middle third of oesophagus"
"Primary malignancy oesophageal","C15.5","Malignant neoplasm: Lower third of oesophagus"
"Primary malignancy oesophageal","C15.8","Malignant neoplasm: Overlapping lesion of oesophagus"
"Primary malignancy oesophageal","C15.9","Malignant neoplasm: Oesophagus, unspecified"
"Primary malignancy oesophageal","C16.0","Malignant neoplasm: Cardia"
"Primary malignancy oesophageal","D37.7","Neoplasm of uncertain or unknown behaviour: Other digestive organs"
"Primary malignancy oesophageal","Z85.0","Personal history of malignant neoplasm of digestive organs"
