"Disease","ICD10code","ICD10codeDescr"
"Hearing loss","H91.9","Hearing loss, unspecified"
"Hearing loss","H91.1","Presbycusis"
"Hearing loss","H83.3","Noise effects on inner ear"
"Hearing loss","H91.2","Sudden idiopathic hearing loss"
"Hearing loss","H90.2","Conductive hearing loss, unspecified"
"Hearing loss","H90.0","Conductive hearing loss, bilateral"
"Hearing loss","H90.5","Sensorineural hearing loss, unspecified"
"Hearing loss","H91.0","Ototoxic hearing loss"
"Hearing loss","H90.3","Sensorineural hearing loss, bilateral"
"Hearing loss","H90.8","Mixed conductive and sensorineural hearing loss, unspecified"
"Hearing loss","H90.6","Mixed conductive and sensorineural hearing loss, bilateral"
"Hearing loss","H91.3","Deaf mutism, not elsewhere classified"
"Hearing loss","H91.8","Other specified hearing loss"
"Hearing loss","Q16.9","Congenital malformation of ear causing impairment of hearing, unspecified"
"Hearing loss","Q16.1","Congenital absence, atresia and stricture of auditory canal (external)"
"Hearing loss","Q89.8","Other specified congenital malformations"
"Hearing loss","S04.6","Injury of acoustic nerve"
"Hearing loss","Z97.4","Presence of external hearing-aid"
"Hearing loss","Z96.2","Presence of otological and audiological implants"
"Hearing loss","Z46.1","Fitting and adjustment of hearing aid"
"Hearing loss","Z45.3","Adjustment and management of implanted hearing device"
