"Disease","ICD10code","ICD10codeDescr"
"Disorders of autonomic nervous system","G90.9","Disorder of autonomic nervous system, unspecified"
"Disorders of autonomic nervous system","G90.0","Idiopathic peripheral autonomic neuropathy"
"Disorders of autonomic nervous system","G90.2","Horner syndrome"
"Disorders of autonomic nervous system","M89.0","Algoneurodystrophy"
"Disorders of autonomic nervous system","G90.4","Autonomic dysreflexia"
"Disorders of autonomic nervous system","G83.4","Cauda equina syndrome"
"Disorders of autonomic nervous system","N31.9","Neuromuscular dysfunction of bladder, unspecified"
"Disorders of autonomic nervous system","G56.4","Causalgia"
"Disorders of autonomic nervous system","K31.8","Other specified diseases of stomach and duodenum"
"Disorders of autonomic nervous system","K59.2","Neurogenic bowel, not elsewhere classified"
"Disorders of autonomic nervous system","G90.1","Familial dysautonomia [Riley-Day]"
"Disorders of autonomic nervous system","R00.0","Tachycardia, unspecified"
