"Disease","ICD10code","ICD10codeDescr"
"Blistering autoimmune skin conditions","L13.0","Dermatitis herpetiformis"
"Blistering autoimmune skin conditions","L12.2","Chronic bullous disease of childhood"
"Blistering autoimmune skin conditions","L10.9","Pemphigus, unspecified"
"Blistering autoimmune skin conditions","L10.2","Pemphigus foliaceus"
"Blistering autoimmune skin conditions","L10.1","Pemphigus vegetans"
"Blistering autoimmune skin conditions","L10.0","Pemphigus vulgaris"
"Blistering autoimmune skin conditions","L10.3","Brazilian pemphigus [fogo selvagem]"
"Blistering autoimmune skin conditions","L10.5","Drug-induced pemphigus"
"Blistering autoimmune skin conditions","L12.9","Pemphigoid, unspecified"
"Blistering autoimmune skin conditions","L12.0","Bullous pemphigoid"
"Blistering autoimmune skin conditions","L12.1","Cicatricial pemphigoid"
"Blistering autoimmune skin conditions","L10.8","Other pemphigus"
"Blistering autoimmune skin conditions","L12.8","Other pemphigoid"
