"Disease","ICD10code","ICD10codeDescr"
"Liver failure and transplant","B15.0","Hepatitis A with hepatic coma"
"Liver failure and transplant","B16.2","Acute hepatitis B without delta-agent with hepatic coma"
"Liver failure and transplant","B17.8","Other specified acute viral hepatitis"
"Liver failure and transplant","B18.2","Chronic viral hepatitis C"
"Liver failure and transplant","K72.0","Acute and subacute hepatic failure"
"Liver failure and transplant","K70.4","Alcoholic hepatic failure"
"Liver failure and transplant","K72.9","Hepatic failure, unspecified"
"Liver failure and transplant","K76.8","Other specified diseases of liver"
"Liver failure and transplant","K76.3","Infarction of liver"
"Liver failure and transplant","K71.1","Toxic liver disease with hepatic necrosis"
"Liver failure and transplant","K76.2","Central haemorrhagic necrosis of liver"
"Liver failure and transplant","T86.4","Liver transplant failure and rejection"
"Liver failure and transplant","K91.8","Other postprocedural disorders of digestive system, not elsewhere classified"
"Liver failure and transplant","Z94.4","Liver transplant status"
