"Disease","ICD10code","ICD10codeDescr"
"Rheumatic valve dz","I05","Rheumatic mitral valve diseases"
"Rheumatic valve dz","I05.0","Mitral stenosis"
"Rheumatic valve dz","I05.1","Rheumatic mitral insufficiency"
"Rheumatic valve dz","I06.9","Rheumatic aortic valve disease, unspecified"
"Rheumatic valve dz","I06.0","Rheumatic aortic stenosis"
"Rheumatic valve dz","I06.1","Rheumatic aortic insufficiency"
"Rheumatic valve dz","I06.2","Rheumatic aortic stenosis with insufficiency"
"Rheumatic valve dz","I07.0","Tricuspid stenosis"
"Rheumatic valve dz","I07.1","Tricuspid insufficiency"
"Rheumatic valve dz","I07.2","Tricuspid stenosis with insufficiency"
"Rheumatic valve dz","I07.9","Tricuspid valve disease, unspecified"
"Rheumatic valve dz","I09.8","Other specified rheumatic heart diseases"
"Rheumatic valve dz","I09.1","Rheumatic diseases of endocardium, valve unspecified"
"Rheumatic valve dz","I06.8","Other rheumatic aortic valve diseases"
