"Disease","ICD10code","ICD10codeDescr"
"Heart valve disease non-rheumatic","I05","Rheumatic mitral valve diseases"
"Heart valve disease non-rheumatic","I05.0","Mitral stenosis"
"Heart valve disease non-rheumatic","I05.2","Mitral stenosis with insufficiency"
"Heart valve disease non-rheumatic","I34.8","Other nonrheumatic mitral valve disorders"
"Heart valve disease non-rheumatic","I05.9","Mitral valve disease, unspecified"
"Heart valve disease non-rheumatic","I08.0","Disorders of both mitral and aortic valves"
"Heart valve disease non-rheumatic","I07.8","Other tricuspid valve diseases"
"Heart valve disease non-rheumatic","I07.1","Tricuspid insufficiency"
"Heart valve disease non-rheumatic","I07.2","Tricuspid stenosis with insufficiency"
"Heart valve disease non-rheumatic","I07.0","Tricuspid stenosis"
"Heart valve disease non-rheumatic","I34.0","Mitral (valve) insufficiency"
"Heart valve disease non-rheumatic","I34.1","Mitral (valve) prolapse"
"Heart valve disease non-rheumatic","I34.9","Nonrheumatic mitral valve disorder, unspecified"
"Heart valve disease non-rheumatic","I35","Nonrheumatic aortic valve disorders"
"Heart valve disease non-rheumatic","I35.1","Aortic (valve) insufficiency"
"Heart valve disease non-rheumatic","I35.0","Aortic (valve) stenosis"
"Heart valve disease non-rheumatic","I35.2","Aortic (valve) stenosis with insufficiency"
"Heart valve disease non-rheumatic","I35.8","Other aortic valve disorders"
"Heart valve disease non-rheumatic","I35.9","Aortic valve disorder, unspecified"
"Heart valve disease non-rheumatic","I36","Nonrheumatic tricuspid valve disorders"
"Heart valve disease non-rheumatic","I36.1","Nonrheumatic tricuspid (valve) insufficiency"
"Heart valve disease non-rheumatic","I36.0","Nonrheumatic tricuspid (valve) stenosis"
"Heart valve disease non-rheumatic","I36.2","Nonrheumatic tricuspid (valve) stenosis with insufficiency"
"Heart valve disease non-rheumatic","I36.9","Nonrheumatic tricuspid valve disorder, unspecified"
"Heart valve disease non-rheumatic","I08","Multiple valve diseases"
"Heart valve disease non-rheumatic","I08.2","Disorders of both aortic and tricuspid valves"
"Heart valve disease non-rheumatic","I08.1","Disorders of both mitral and tricuspid valves"
"Heart valve disease non-rheumatic","I08.3","Combined disorders of mitral, aortic and tricuspid valves"
"Heart valve disease non-rheumatic","I08.9","Multiple valve disease, unspecified"
"Heart valve disease non-rheumatic","I05.8","Other mitral valve diseases"
"Heart valve disease non-rheumatic","I06.8","Other rheumatic aortic valve diseases"
