"Disease","ICD10code","ICD10codeDescr"
"Dermatitis (atopc/contact/other/unspecified)","B00.0","Eczema herpeticum"
"Dermatitis (atopc/contact/other/unspecified)","D82.0","Wiskott-Aldrich syndrome"
"Dermatitis (atopc/contact/other/unspecified)","H01.1","Noninfectious dermatoses of eyelid"
"Dermatitis (atopc/contact/other/unspecified)","H61.0","Perichondritis of external ear"
"Dermatitis (atopc/contact/other/unspecified)","H60.5","Acute otitis externa, noninfective"
"Dermatitis (atopc/contact/other/unspecified)","J45.0","Predominantly allergic asthma"
"Dermatitis (atopc/contact/other/unspecified)","L08.8","Other specified local infections of skin and subcutaneous tissue"
"Dermatitis (atopc/contact/other/unspecified)","L30.3","Infective dermatitis"
"Dermatitis (atopc/contact/other/unspecified)","L08.9","Local infection of skin and subcutaneous tissue, unspecified"
"Dermatitis (atopc/contact/other/unspecified)","L30.5","Pityriasis alba"
"Dermatitis (atopc/contact/other/unspecified)","L20","Atopic dermatitis"
"Dermatitis (atopc/contact/other/unspecified)","L22","Diaper [napkin] dermatitis"
"Dermatitis (atopc/contact/other/unspecified)","L20.9","Atopic dermatitis, unspecified"
"Dermatitis (atopc/contact/other/unspecified)","L20.8","Other atopic dermatitis"
"Dermatitis (atopc/contact/other/unspecified)","L20.0","Besnier prurigo"
"Dermatitis (atopc/contact/other/unspecified)","L30.9","Dermatitis, unspecified"
"Dermatitis (atopc/contact/other/unspecified)","L30.0","Nummular dermatitis"
"Dermatitis (atopc/contact/other/unspecified)","L30.8","Other specified dermatitis"
"Dermatitis (atopc/contact/other/unspecified)","L25.9","Unspecified contact dermatitis, unspecified cause"
"Dermatitis (atopc/contact/other/unspecified)","L24.0","Irritant contact dermatitis due to detergents"
"Dermatitis (atopc/contact/other/unspecified)","L24.1","Irritant contact dermatitis due to oils and greases"
"Dermatitis (atopc/contact/other/unspecified)","L24.2","Irritant contact dermatitis due to solvents"
"Dermatitis (atopc/contact/other/unspecified)","L25.1","Unspecified contact dermatitis due to drugs in contact with skin"
"Dermatitis (atopc/contact/other/unspecified)","L25.3","Unspecified contact dermatitis due to other chemical products"
"Dermatitis (atopc/contact/other/unspecified)","L24.5","Irritant contact dermatitis due to other chemical products"
"Dermatitis (atopc/contact/other/unspecified)","L23.1","Allergic contact dermatitis due to adhesives"
"Dermatitis (atopc/contact/other/unspecified)","L23.0","Allergic contact dermatitis due to metals"
"Dermatitis (atopc/contact/other/unspecified)","L23.5","Allergic contact dermatitis due to other chemical products"
"Dermatitis (atopc/contact/other/unspecified)","L25.4","Unspecified contact dermatitis due to food in contact with skin"
"Dermatitis (atopc/contact/other/unspecified)","L25.5","Unspecified contact dermatitis due to plants, except food"
"Dermatitis (atopc/contact/other/unspecified)","L23.7","Allergic contact dermatitis due to plants, except food"
