"Disease","ICD10code","ICD10codeDescr"
"Chronic ulcer of the skin","A06.7","Cutaneous amoebiasis"
"Chronic ulcer of the skin","I83.0","Varicose veins of lower extremities with ulcer"
"Chronic ulcer of the skin","I83.2","Varicose veins of lower extremities with both ulcer and inflammation"
"Chronic ulcer of the skin","L97","Ulcer of lower limb, not elsewhere classified"
"Chronic ulcer of the skin","L08.9","Local infection of skin and subcutaneous tissue, unspecified"
"Chronic ulcer of the skin","L98.4","Chronic ulcer of skin, not elsewhere classified"
"Chronic ulcer of the skin","L89","Decubitus ulcer and pressure area"
"Chronic ulcer of the skin","L89.9","Decubitus ulcer and pressure area, unspecified"
"Chronic ulcer of the skin","L89.0","Stage I decubitus ulcer and pressure area"
"Chronic ulcer of the skin","L89.1","Stage II decubitus ulcer"
"Chronic ulcer of the skin","L89.2","Stage III decubitus ulcer"
"Chronic ulcer of the skin","L89.3","Stage IV decubitus ulcer"
