"Disease","ICD10code","ICD10codeDescr"
"Cerebrovascular disease","G45.4","Transient global amnesia"
"Cerebrovascular disease","G45.3","Amaurosis fugax"
"Cerebrovascular disease","I65","Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
"Cerebrovascular disease","I63.0","Cerebral infarction due to thrombosis of precerebral arteries"
"Cerebrovascular disease","I63.1","Cerebral infarction due to embolism of precerebral arteries"
"Cerebrovascular disease","I66.9","Occlusion and stenosis of unspecified cerebral artery"
"Cerebrovascular disease","I63.3","Cerebral infarction due to thrombosis of cerebral arteries"
"Cerebrovascular disease","I63.4","Cerebral infarction due to embolism of cerebral arteries"
"Cerebrovascular disease","I63.9","Cerebral infarction, unspecified"
"Cerebrovascular disease","G45","Transient cerebral ischaemic attacks and related syndromes"
"Cerebrovascular disease","G45.0","Vertebro-basilar artery syndrome"
"Cerebrovascular disease","G45.1","Carotid artery syndrome (hemispheric)"
"Cerebrovascular disease","G45.8","Other transient cerebral ischaemic attacks and related syndromes"
"Cerebrovascular disease","G45.9","Transient cerebral ischaemic attack, unspecified"
"Cerebrovascular disease","I64","Stroke, not specified as haemorrhage or infarction"
"Cerebrovascular disease","I69.3","Sequelae of cerebral infarction"
"Cerebrovascular disease","I63.8","Other cerebral infarction"
"Cerebrovascular disease","O99.4","Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium"
"Cerebrovascular disease","Z86.7","Personal history of diseases of the circulatory system"
"Cerebrovascular disease","Z86.6","Personal history of diseases of the nervous system and sense organs"
