"Disease","ICD10code","ICD10codeDescr"
"Schizophrenia and non-organic psychosis","F03","Unspecified dementia"
"Schizophrenia and non-organic psychosis","F09","Unspecified organic or symptomatic mental disorder"
"Schizophrenia and non-organic psychosis","F20","Schizophrenia"
"Schizophrenia and non-organic psychosis","F20.0","Paranoid schizophrenia"
"Schizophrenia and non-organic psychosis","F20.1","Hebephrenic schizophrenia"
"Schizophrenia and non-organic psychosis","F20.2","Catatonic schizophrenia"
"Schizophrenia and non-organic psychosis","F20.3","Undifferentiated schizophrenia"
"Schizophrenia and non-organic psychosis","F20.4","Post-schizophrenic depression"
"Schizophrenia and non-organic psychosis","F20.5","Residual schizophrenia"
"Schizophrenia and non-organic psychosis","F20.6","Simple schizophrenia"
"Schizophrenia and non-organic psychosis","F20.8","Other schizophrenia"
"Schizophrenia and non-organic psychosis","F20.9","Schizophrenia, unspecified"
"Schizophrenia and non-organic psychosis","F21","Schizotypal disorder"
"Schizophrenia and non-organic psychosis","F22","Persistent delusional disorders"
"Schizophrenia and non-organic psychosis","F22.0","Delusional disorder"
"Schizophrenia and non-organic psychosis","F22.8","Other persistent delusional disorders"
"Schizophrenia and non-organic psychosis","F22.9","Persistent delusional disorder, unspecified"
"Schizophrenia and non-organic psychosis","F23.0","Acute polymorphic psychotic disorder without symptoms of schizophrenia"
"Schizophrenia and non-organic psychosis","F23.1","Acute polymorphic psychotic disorder with symptoms of schizophrenia"
"Schizophrenia and non-organic psychosis","F23.2","Acute schizophrenia-like psychotic disorder"
"Schizophrenia and non-organic psychosis","F23.3","Other acute predominantly delusional psychotic disorders"
"Schizophrenia and non-organic psychosis","F23.9","Acute and transient psychotic disorder, unspecified"
"Schizophrenia and non-organic psychosis","F25","Schizoaffective disorders"
"Schizophrenia and non-organic psychosis","F25.0","Schizoaffective disorder, manic type"
"Schizophrenia and non-organic psychosis","F25.1","Schizoaffective disorder, depressive type"
"Schizophrenia and non-organic psychosis","F25.2","Schizoaffective disorder, mixed type"
"Schizophrenia and non-organic psychosis","F25.8","Other schizoaffective disorders"
"Schizophrenia and non-organic psychosis","F25.9","Schizoaffective disorder, unspecified"
"Schizophrenia and non-organic psychosis","F29","Unspecified nonorganic psychosis"
"Schizophrenia and non-organic psychosis","F28","Other nonorganic psychotic disorders"
"Schizophrenia and non-organic psychosis","F60.1","Schizoid personality disorder"
"Schizophrenia and non-organic psychosis","Z86.5","Personal history of other mental and behavioural disorders"
