"Disease","ICD10code","ICD10codeDescr"
"Glomerulonephritis","M31.0","Hypersensitivity angiitis"
"Glomerulonephritis","N00","Acute nephritic syndrome"
"Glomerulonephritis","N00.8","Acute nephritic syndrome other"
"Glomerulonephritis","N05.7","Unspecified nephritic syndrome diffuse crescentic glomerulonephritis"
"Glomerulonephritis","N00.9","Acute nephritic syndrome unspecified"
"Glomerulonephritis","N04","Nephrotic syndrome"
"Glomerulonephritis","N04.8","Nephrotic syndrome other"
"Glomerulonephritis","N04.2","Nephrotic syndrome diffuse membranous glomerulonephritis"
"Glomerulonephritis","N04.0","Nephrotic syndrome minor glomerular abnormality"
"Glomerulonephritis","N04.1","Nephrotic syndrome focal and segmental glomerular lesions"
"Glomerulonephritis","N04.6","Nephrotic syndrome dense deposit disease"
"Glomerulonephritis","N04.7","Nephrotic syndrome diffuse crescentic glomerulonephritis"
"Glomerulonephritis","N04.9","Nephrotic syndrome unspecified"
"Glomerulonephritis","N03.9","Chronic nephritic syndrome unspecified"
"Glomerulonephritis","N03.3","Chronic nephritic syndrome diffuse mesangial proliferative glomerulonephritis"
"Glomerulonephritis","N03.2","Chronic nephritic syndrome diffuse membranous glomerulonephritis"
"Glomerulonephritis","N03.5","Chronic nephritic syndrome diffuse mesangiocapillary glomerulonephritis"
"Glomerulonephritis","N01.9","Rapidly progressive nephritic syndrome unspecified"
"Glomerulonephritis","N03.8","Chronic nephritic syndrome other"
"Glomerulonephritis","N03.1","Chronic nephritic syndrome focal and segmental glomerular lesions"
"Glomerulonephritis","N05.8","Unspecified nephritic syndrome other"
"Glomerulonephritis","N05.2","Unspecified nephritic syndrome diffuse membranous glomerulonephritis"
"Glomerulonephritis","N05.5","Unspecified nephritic syndrome diffuse mesangiocapillary glomerulonephritis"
"Glomerulonephritis","N05.1","Unspecified nephritic syndrome focal and segmental glomerular lesions"
"Glomerulonephritis","N02.9","Recurrent and persistent haematuria unspecified"
"Glomerulonephritis","N02.8","Recurrent and persistent haematuria other"
"Glomerulonephritis","N05.6","Unspecified nephritic syndrome dense deposit disease"
"Glomerulonephritis","N05.9","Unspecified nephritic syndrome unspecified"
"Glomerulonephritis","N26","Unspecified contracted kidney"
"Glomerulonephritis","N00.0","Acute nephritic syndrome minor glomerular abnormality"
"Glomerulonephritis","N00.6","Acute nephritic syndrome dense deposit disease"
"Glomerulonephritis","N01","Rapidly progressive nephritic syndrome"
"Glomerulonephritis","N02","Recurrent and persistent haematuria"
"Glomerulonephritis","N02.6","Recurrent and persistent haematuria dense deposit disease"
"Glomerulonephritis","N03","Chronic nephritic syndrome"
"Glomerulonephritis","N03.0","Chronic nephritic syndrome minor glomerular abnormality"
"Glomerulonephritis","N03.6","Chronic nephritic syndrome dense deposit disease"
"Glomerulonephritis","N06","Isolated proteinuria with specified morphological lesion"
