"Disease","ICD10code","ICD10codeDescr"
"Venous thromboembolism","G08","Intracranial and intraspinal phlebitis and thrombophlebitis"
"Venous thromboembolism","I26.9","Pulmonary embolism without mention of acute cor pulmonale"
"Venous thromboembolism","I67.6","Nonpyogenic thrombosis of intracranial venous system"
"Venous thromboembolism","I80.2","Phlebitis and thrombophlebitis of other deep vessels of lower extremities"
"Venous thromboembolism","I80.1","Phlebitis and thrombophlebitis of femoral vein"
"Venous thromboembolism","I80.3","Phlebitis and thrombophlebitis of lower extremities, unspecified"
"Venous thromboembolism","I80.8","Phlebitis and thrombophlebitis of other sites"
"Venous thromboembolism","I81","Portal vein thrombosis"
"Venous thromboembolism","I82.0","Budd-Chiari syndrome"
"Venous thromboembolism","I82.2","Embolism and thrombosis of vena cava"
"Venous thromboembolism","I82.3","Embolism and thrombosis of renal vein"
"Venous thromboembolism","I82.8","Embolism and thrombosis of other specified veins"
"Venous thromboembolism","K55.0","Acute vascular disorders of intestine"
"Venous thromboembolism","Z86.7","Personal history of diseases of the circulatory system"
