"","MedCode","ReadCode","ReadTerm"
"24286",8390,"2126.13","Patient's condition resolved"
"99310",8385,"2126000","Epilepsy resolved"
"81350",3269,"2126100","Hypertension resolved"
"12086",10996,"2126200","Asthma resolved"
"2842",28622,"2126300","Diabetes resolved"
"47109",100784,"2126400","Heart failure resolved"
"29388",101386,"2126500","Osteoporosis resolved"
"82108",101249,"2126600","Osteopenia resolved"
"64700",102372,"2126700","Hepatitis C resolved"
"48621",104307,"2126800","Ostium secundum atrial septal defect resolved"
"30930",104113,"2126900","Impaired glucose tolerance resolved"
"13557",104677,"2126A00","Proteinuria resolved"
"90225",105262,"2126B00","Impaired fasting glycaemia resolved"
"48604",109108,"2126C00","Alcohol dependence resolved"
"11417",109068,"2126D00","Cow's milk protein allergy symptoms resolved"
"108860",109750,"2126E00","Chronic kidney disease resolved"
"46363",109683,"2126F00","Chronic obstructive pulmonary disease resolved"
"28666",110702,"2126G00","Immunosuppression resolved"
"10958",18237,"212F.00","Patient in remission"
"110084",11839,"212G.00","Asthma resolved"
"33002",18766,"212H.00","Diabetes resolved"
"32931",12848,"212J.00","Epilepsy resolved"
"59268",19342,"212K.00","Hypertension resolved"
"58341",60972,"212L.00","Patient in early remission"
"2580",59846,"212M.00","Patient in partial remission"
"33021",12294,"212N.00","Patient in full remission"
"60316",26362,"212P.00","Hyperthyroidism resolved"
"86094",52703,"212Q.00","Obesity resolved"
"35117",28994,"212R.00","Atrial fibrillation resolved"
"61378",19439,"212S.00","Depression resolved"
"92532",19345,"212T.00","Psychosis, schizophrenia + bipolar affective disord resolved"
"60380",85102,"212V.00","Bipolar affective disorder resolved"
"86124",88275,"212W.00","Schizophrenia resolved"
"35779",85972,"212X.00","Psychosis resolved"
"17842",17722,"2E44.00","O/E - fever - remittent"
"65571",31798,"3616.00","Check endoscopy - condition resolved"
"21530",109105,"8W2..00","Refer to MH services deferred until alcohol misuse resolved"
"13045",51033,"9g2..00","Significant event resolved"
"33916",107603,"C10P.00","Diabetes mellitus in remission"
"15775",108360,"C10P000","Type I diabetes mellitus in remission"
"109803",109628,"C10P011","Type 1 diabetes mellitus in remission"
"33205",107824,"C10P100","Type II diabetes mellitus in remission"
"54647",110611,"C10P111","Type 2 diabetes mellitus in remission"
"84476",58687,"E100500","Schizophrenia in remission"
"75328",67768,"E101500","Hebephrenic schizophrenia in remission"
"100436",102427,"E102500","Catatonic schizophrenia in remission"
"110250",36172,"E103500","Paranoid schizophrenia in remission"
"47073",96883,"E105500","Latent schizophrenia in remission"
"90960",56438,"E107500","Schizo-affective schizophrenia in remission"
"83810",109485,"E110500","Single manic episode in partial or unspecified remission"
"74282",70000,"E110600","Single manic episode in full remission"
"43091",58863,"E111500","Recurrent manic episodes, partial or unspecified remission"
"92380",37178,"E111600","Recurrent manic episodes, in full remission"
"50296",43324,"E112500","Single major depressive episode, partial or unspec remission"
"103503",57409,"E112600","Single major depressive episode, in full remission"
"30793",56273,"E113500","Recurrent major depressive episodes,partial/unspec remission"
"92361",55384,"E113600","Recurrent major depressive episodes, in full remission"
"6532",59011,"E114500","Bipolar affect disord,currently manic, part/unspec remission"
"103476",63784,"E114600","Bipolar affective disorder, currently manic, full remission"
"112685",72026,"E115500","Bipolar affect disord, now depressed, part/unspec remission"
"90743",57465,"E115600","Bipolar affective disorder, now depressed, in full remission"
"68313",63651,"E116500","Mixed bipolar affective disorder, partial/unspec remission"
"7100",55064,"E116600","Mixed bipolar affective disorder, in full remission"
"77391",70721,"E117500","Unspecified bipolar affect disord, partial/unspec remission"
"85716",24230,"E117600","Unspecified bipolar affective disorder, in full remission"
"61877",59574,"E230300","Acute alcoholic intoxication in remission, in alcoholism"
"8904",24485,"E231300","Chronic alcoholism in remission"
"31971",27960,"E240300","Opioid dependence in remission"
