Condition,OPCS4code,OPCS4codeDescr
Female genital prolapse,P22,Repair of prolapse of vagina and amputation of cervix uteri
Female genital prolapse,P222,Anterior colporrhaphy and amputation of cervix uteri NEC
Female genital prolapse,P223,Posterior colporrhaphy and amputation of cervix uteri NEC
Female genital prolapse,P229,Unspecified repair of prolapse of vagina and amputation of cervix uteri
Female genital prolapse,P23,Other repair of prolapse of vagina
Female genital prolapse,P231,Anterior and posterior colporrhaphy NEC
Female genital prolapse,P232,Anterior colporrhaphy NEC
Female genital prolapse,P233,Posterior colporrhaphy NEC
Female genital prolapse,P234,Repair of enterocele NEC
Female genital prolapse,P235,Paravaginal repair
Female genital prolapse,P236,Anterior colporrhaphy with mesh reinforcement
Female genital prolapse,P237,Posterior colporrhaphy with mesh reinforcement
Female genital prolapse,P238,Other specified other repair of prolapse of vagina
Female genital prolapse,P239,Unspecified other repair of prolapse of vagina
Female genital prolapse,P24,Repair of vault of vagina
Female genital prolapse,P242,Sacrocolpopexy
Female genital prolapse,P243,Repair of vault of vagina using abdominal approach NEC
Female genital prolapse,P244,Repair of vault of vagina using vaginal approach NEC
Female genital prolapse,P245,Repair of vault of vagina with mesh using abdominal approach
Female genital prolapse,P246,Repair of vault of vagina with mesh using vaginal approach
Female genital prolapse,P247,Sacrospinous fixation of vagina
Female genital prolapse,P248,Other specified repair of vault of vagina
Female genital prolapse,P249,Unspecified repair of vault of vagina
Female genital prolapse,P255,Suture of vagina
Female genital prolapse,P26,Introduction of supporting pessary into vagina
Female genital prolapse,P261,Insertion of Hodge pessary into vagina
Female genital prolapse,P262,Insertion of ring pessary into vagina
Female genital prolapse,P263,Removal of supporting pessary from vagina
Female genital prolapse,P264,Renewal of supporting pessary in vagina
Female genital prolapse,P268,Other specified introduction of supporting pessary into vagina
Female genital prolapse,P269,Unspecified introduction of supporting pessary into vagina
