Condition,OPCS4code,OPCS4codeDescr
Intervertebral disc disorders,V243,Revisional decompression of thoracic spinal cord NEC
Intervertebral disc disorders,V249,Unspecified decompression operations on thoracic spine
Intervertebral disc disorders,V29,Primary excision of cervical intervertebral disc
Intervertebral disc disorders,V291,Primary laminectomy excision of cervical intervertebral disc
Intervertebral disc disorders,V292,Primary hemilaminectomy excision of cervical intervertebral disc
Intervertebral disc disorders,V293,Primary fenestration excision of cervical intervertebral disc
Intervertebral disc disorders,V294,Primary anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine
Intervertebral disc disorders,V295,Primary anterior excision of cervical intervertebral disc NEC
Intervertebral disc disorders,V296,Primary microdiscectomy of cervical intervertebral disc
Intervertebral disc disorders,V298,Other specified primary excision of cervical intervertebral disc
Intervertebral disc disorders,V299,Unspecified primary excision of cervical intervertebral disc
Intervertebral disc disorders,V30,Revisional excision of cervical intervertebral disc
Intervertebral disc disorders,V301,Revisional laminectomy excision of cervical intervertebral disc
Intervertebral disc disorders,V302,Revisional hemilaminectomy excision of cervical intervertebral disc
Intervertebral disc disorders,V303,Revisional fenestration excision of cervical intervertebral disc
Intervertebral disc disorders,V304,Revisional anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine
Intervertebral disc disorders,V305,Revisional anterior excision of cervical intervertebral disc NEC
Intervertebral disc disorders,V306,Revisional microdiscectomy of cervical intervertebral disc
Intervertebral disc disorders,V308,Other specified revisional excision of cervical intervertebral disc
Intervertebral disc disorders,V309,Unspecified revisional excision of cervical intervertebral disc
Intervertebral disc disorders,V31,Primary excision of thoracic intervertebral disc
Intervertebral disc disorders,V311,Primary anterolateral excision of thoracic intervertebral disc and graft HFQ
Intervertebral disc disorders,V312,Primary anterolateral excision of thoracic intervertebral disc NEC
Intervertebral disc disorders,V313,Primary costotransversectomy of thoracic intervertebral disc
Intervertebral disc disorders,V314,Primary percutaneous endoscopic excision of thoracic intervertebral disc
Intervertebral disc disorders,V318,Other specified primary excision of thoracic intervertebral disc
Intervertebral disc disorders,V319,Unspecified primary excision of thoracic intervertebral disc
Intervertebral disc disorders,V32,Revisional excision of thoracic intervertebral disc
Intervertebral disc disorders,V321,Revisional anterolateral excision of thoracic intervertebral disc and graft HFQ
Intervertebral disc disorders,V322,Revisional anterolateral excision of thoracic intervertebral disc NEC
Intervertebral disc disorders,V323,Revisional costotransversectomy of thoracic intervertebral disc
Intervertebral disc disorders,V324,Revisional percutaneous endoscopic excision of thoracic intervertebral disc
Intervertebral disc disorders,V328,Other specified revisional excision of thoracic intervertebral disc
Intervertebral disc disorders,V329,Unspecified revisional excision of thoracic intervertebral disc
Intervertebral disc disorders,V33,Primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V331,Primary laminectomy excision of lumbar intervertebral disc
Intervertebral disc disorders,V332,Primary fenestration excision of lumbar intervertebral disc
Intervertebral disc disorders,V333,Primary anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
Intervertebral disc disorders,V334,Primary anterior excision of lumbar intervertebral disc NEC
Intervertebral disc disorders,V335,Primary anterior excision of lumbar intervertebral disc and posterior graft fusion of joint of lumbar spine
Intervertebral disc disorders,V336,Primary anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine
Intervertebral disc disorders,V337,Primary microdiscectomy of lumbar intervertebral disc
Intervertebral disc disorders,V338,Other specified primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V339,Unspecified primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V34,Revisional excision of lumbar intervertebral disc
Intervertebral disc disorders,V341,Revisional laminectomy excision of lumbar intervertebral disc
Intervertebral disc disorders,V342,Revisional fenestration excision of lumbar intervertebral disc
Intervertebral disc disorders,V343,Revisional anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
Intervertebral disc disorders,V344,Revisional anterior excision of lumbar intervertebral disc NEC
Intervertebral disc disorders,V345,Revisional anterior excision of lumbar intervertebral disc and posterior graft fusion of joint of lumbar spine
Intervertebral disc disorders,V346,Revisional anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine
Intervertebral disc disorders,V347,Revisional microdiscectomy of lumbar intervertebral disc
Intervertebral disc disorders,V348,Other specified revisional excision of lumbar intervertebral disc
Intervertebral disc disorders,V349,Unspecified revisional excision of lumbar intervertebral disc
Intervertebral disc disorders,V35,Excision of unspecified intervertebral disc
Intervertebral disc disorders,V351,Primary excision of intervertebral disc NEC
Intervertebral disc disorders,V352,Revisional excision of intervertebral disc NEC
Intervertebral disc disorders,V358,Other specified excision of unspecified intervertebral disc
Intervertebral disc disorders,V359,Unspecified excision of unspecified intervertebral disc
Intervertebral disc disorders,V36,Prosthetic replacement of intervertebral disc
Intervertebral disc disorders,V361,Prosthetic replacement of cervical intervertebral disc
Intervertebral disc disorders,V362,Prosthetic replacement of thoracic intervertebral disc
Intervertebral disc disorders,V363,Prosthetic replacement of lumbar intervertebral disc
Intervertebral disc disorders,V368,Other specified prosthetic replacement of intervertebral disc
Intervertebral disc disorders,V369,Unspecified prosthetic replacement of intervertebral disc
Intervertebral disc disorders,V51,Other primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V511,Primary direct lateral excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
Intervertebral disc disorders,V518,Other specified other primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V519,Unspecified other primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V52,Other operations on intervertebral disc
Intervertebral disc disorders,V521,Enzyme destruction of intervertebral disc
Intervertebral disc disorders,V522,Destruction of intervertebral disc NEC
Intervertebral disc disorders,V523,Discography of intervertebral disc
Intervertebral disc disorders,V524,Biopsy of lesion of intervertebral disc NEC
Intervertebral disc disorders,V525,Aspiration of intervertebral disc NEC
Intervertebral disc disorders,V528,Other specified other operations on intervertebral disc
Intervertebral disc disorders,V529,Unspecified other operations on intervertebral disc
Intervertebral disc disorders,V58,Primary automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,V581,Primary automated percutaneous mechanical excision of cervical intervertebral disc
Intervertebral disc disorders,V582,Primary automated percutaneous mechanical excision of thoracic intervertebral disc
Intervertebral disc disorders,V583,Primary automated percutaneous mechanical excision of lumbar intervertebral disc
Intervertebral disc disorders,V588,Other specified primary automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,V589,Unspecified primary automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,V59,Revisional automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,V591,Revisional automated percutaneous mechanical excision of cervical intervertebral disc
Intervertebral disc disorders,V592,Revisional automated percutaneous mechanical excision of thoracic intervertebral disc
Intervertebral disc disorders,V593,Revisional automated percutaneous mechanical excision of lumbar intervertebral disc
Intervertebral disc disorders,V598,Other specified revisional automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,V599,Unspecified revisional automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,V60,Primary percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,V601,Primary percutaneous decompression using coblation to cervical intervertebral disc
Intervertebral disc disorders,V602,Primary percutaneous decompression using coblation to thoracic intervertebral disc
