Condition,ProdCodeId,ProductName,BNFChapter,GOLD
Constipation,77941000033118,Arachis oil 130ml enema,1060300,MULTIPLY_Prodcode_constipation
Constipation,149241000033111,Bisacodyl 2.74mg/ml rectal solution,NA,MULTIPLY_Prodcode_constipation
Constipation,150641000033117,Bisacodyl 10mg suppositories,1060200,MULTIPLY_Prodcode_constipation
Constipation,150741000033114,Bisacodyl 5mg suppositories,1060200,MULTIPLY_Prodcode_constipation
Constipation,152041000033112,Bisacodyl 5mg gastro-resistant tablets,1060200,MULTIPLY_Prodcode_constipation
Constipation,295041000033114,Co-danthramer 25mg/200mg capsules,1060200,MULTIPLY_Prodcode_constipation
Constipation,295141000033113,Co-danthramer 37.5mg/500mg capsules,1060200,MULTIPLY_Prodcode_constipation
Constipation,295641000033115,Co-danthrusate 50mg/60mg capsules,1060200,MULTIPLY_Prodcode_constipation
Constipation,328041000033116,Sterculia 62% granules gluten free,1060100,MULTIPLY_Prodcode_constipation
Constipation,367241000033118,Co-danthrusate 50mg/60mg/5ml oral suspension sugar free,1060200,MULTIPLY_Prodcode_constipation
Constipation,367941000033110,Co-danthramer 25mg/200mg/5ml oral suspension sugar free,1060200,MULTIPLY_Prodcode_constipation
Constipation,368041000033113,Co-danthramer 75mg/1000mg/5ml oral suspension sugar free,1060200,MULTIPLY_Prodcode_constipation
Constipation,472241000033115,Docusate 100mg capsules,1060200,MULTIPLY_Prodcode_constipation
Constipation,476841000033117,Docusate 120mg/10g enema,1060200,MULTIPLY_Prodcode_constipation
Constipation,644141000033119,Glycerol 1g suppositories,1060200,MULTIPLY_Prodcode_constipation
Constipation,644341000033116,Glycerol 2g suppositories,1060200,MULTIPLY_Prodcode_constipation
Constipation,778741000033118,Ispaghula husk 90% granules sugar free,NA,MULTIPLY_Prodcode_constipation
Constipation,783441000033113,Ispaghula husk 6g oral powder sachets gluten free sugar free,NA,MULTIPLY_Prodcode_constipation
Constipation,813641000033111,Lactulose 3.1-3.7g/5ml oral solution,1060400,MULTIPLY_Prodcode_constipation
Constipation,828541000033111,Liquid paraffin / Magnesium hydroxide oral emulsion sugar free,1060400,MULTIPLY_Prodcode_constipation
Constipation,832041000033118,Liquid paraffin liquid,NA,MULTIPLY_Prodcode_constipation
Constipation,863641000033110,Magnesium sulfate mixture,NA,MULTIPLY_Prodcode_constipation
Constipation,865541000033110,Magnesium sulfate powder,1060400,MULTIPLY_Prodcode_constipation
Constipation,897241000033117,Methylcellulose 500mg tablets,4050100,MULTIPLY_Prodcode_constipation
Constipation,1147041000033112,Pyridostigmine bromide 60mg tablets,10020100,MULTIPLY_Prodcode_constipation
Constipation,1269941000033110,Senna 15mg/5ml granules,NA,MULTIPLY_Prodcode_constipation
Constipation,1274141000033118,Senna 7.5mg/5ml oral solution sugar free,NA,MULTIPLY_Prodcode_constipation
Constipation,1275341000033119,Senna 7.5mg tablets,1060200,MULTIPLY_Prodcode_constipation
Constipation,1794441000033114,Docusate 50mg/5ml oral solution sugar free,1060200,MULTIPLY_Prodcode_constipation
Constipation,1810741000033111,Docusate 12.5mg/5ml oral solution sugar free,1060200,MULTIPLY_Prodcode_constipation
Constipation,2148241000033116,Sterculia 62% granules 7g sachets gluten free,1060100,MULTIPLY_Prodcode_constipation
Constipation,2174541000033114,Sterculia 62% / Frangula 8% granules gluten free,1060100,MULTIPLY_Prodcode_constipation
Constipation,2174641000033110,Sterculia 62% / Frangula 8% granules 7g sachets gluten free,1060100,MULTIPLY_Prodcode_constipation
Constipation,2174741000033118,Docusate compound 5ml enema,NA,MULTIPLY_Prodcode_constipation
Constipation,2174841000033111,Senna fruit 12.4% / Ispaghula 54.2% granules,1060200,MULTIPLY_Prodcode_constipation
Constipation,2175041000033115,Macrogol compound oral powder sachets NPF sugar free,1060400,MULTIPLY_Prodcode_constipation
Constipation,2175241000033111,Sodium citrate compound 5ml enema,1060400,MULTIPLY_Prodcode_constipation
Constipation,2657341000033112,Glycerol 4g suppositories,1060200,MULTIPLY_Prodcode_constipation
Constipation,2721841000033116,Ispaghula husk 3.5g effervescent granules sachets gluten free sugar free,1060100,MULTIPLY_Prodcode_constipation
Constipation,2798141000033114,Macrogol 4000 10g oral powder sachets sugar free,NA,MULTIPLY_Prodcode_constipation
Constipation,2908241000033112,Castor oil liquid,NA,MULTIPLY_Prodcode_constipation
Constipation,2908341000033119,Phosphates enema (Formula B) 128ml long tube,1060400,MULTIPLY_Prodcode_constipation
Constipation,2908441000033113,Phosphates enema (Formula B) 128ml standard tube,1060400,MULTIPLY_Prodcode_constipation
Constipation,2972541000033116,Pyridostigmine bromide 60mg/5ml oral solution,NA,MULTIPLY_Prodcode_constipation
Constipation,3108641000033115,Sodium picosulfate 2.5mg capsules,NA,MULTIPLY_Prodcode_constipation
Constipation,3108741000033112,Sodium picosulfate 5mg/5ml oral solution sugar free,1060200,MULTIPLY_Prodcode_constipation
Constipation,3160141000033111,Ispaghula husk 3.5g / Mebeverine 135mg effervescent granules sachets sugar free,1020000,MULTIPLY_Prodcode_constipation
Constipation,3335541000033112,Senna 15mg tablets,NA,MULTIPLY_Prodcode_constipation
Constipation,4433241000033116,Senna 2.5mg/5ml oral solution,1060200,MULTIPLY_Prodcode_constipation
Constipation,4556441000033118,Methylnaltrexone bromide 12mg/0.6ml solution for injection vials,1060600,MULTIPLY_Prodcode_constipation
Constipation,4574541000033110,Ispaghula husk 3.5g granules sachets gluten free,1060100,MULTIPLY_Prodcode_constipation
Constipation,4574641000033111,Ispaghula husk 3.5g granules sachets gluten free sugar free,NA,MULTIPLY_Prodcode_constipation
