Condition,ICD10code,ICD10codeDescr
Secondary malignancy and metastasis,C77,Secondary and unspecified malignant neoplasm of lymph nodes
Secondary malignancy and metastasis,C77.1,Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes
Secondary malignancy and metastasis,C77.9,"Secondary and unspecified malignant neoplasm: Lymph node, unspecified"
Secondary malignancy and metastasis,C78.0,Secondary malignant neoplasm of lung
Secondary malignancy and metastasis,C78.1,Secondary malignant neoplasm of mediastinum
Secondary malignancy and metastasis,C78.2,Secondary malignant neoplasm of pleura
Secondary malignancy and metastasis,C78.3,Secondary malignant neoplasm of other and unspecified respiratory organs
Secondary malignancy and metastasis,C78.4,Secondary malignant neoplasm of small intestine
Secondary malignancy and metastasis,C78.5,Secondary malignant neoplasm of large intestine and rectum
Secondary malignancy and metastasis,C78.6,Secondary malignant neoplasm of retroperitoneum and peritoneum
Secondary malignancy and metastasis,C78.7,Secondary malignant neoplasm of liver and intrahepatic bile duct
Secondary malignancy and metastasis,C78.8,Secondary malignant neoplasm of other and unspecified digestive organs
Secondary malignancy and metastasis,C79.0,Secondary malignant neoplasm of kidney and renal pelvis
Secondary malignancy and metastasis,C79.1,Secondary malignant neoplasm of bladder and other and unspecified urinary organs
Secondary malignancy and metastasis,C79.2,Secondary malignant neoplasm of skin
Secondary malignancy and metastasis,C79.3,Secondary malignant neoplasm of brain and cerebral meninges
Secondary malignancy and metastasis,C79.4,Secondary malignant neoplasm of other and unspecified parts of nervous system
Secondary malignancy and metastasis,C79.5,Secondary malignant neoplasm of bone and bone marrow
Secondary malignancy and metastasis,C79.6,Secondary malignant neoplasm of ovary
Secondary malignancy and metastasis,C79.7,Secondary malignant neoplasm of adrenal gland
Secondary malignancy and metastasis,C79.8,Secondary malignant neoplasm of other specified sites
Secondary malignancy and metastasis,C79.9,Secondary malignant neoplasm
Secondary malignancy and metastasis,C79.9,"Secondary malignant neoplasm, unspecified site"
