Condition,ICD10code,ICD10codeDescr
Obstructive and reflux uropathy,N13.0,Hydronephrosis with ureteropelvic junction obstruction
Obstructive and reflux uropathy,N13.1,Hydronephrosis with ureteral stricture
Obstructive and reflux uropathy,N13.1,"Hydronephrosis with ureteral stricture, not elsewhere classified"
Obstructive and reflux uropathy,N13.2,Hydronephrosis with renal and ureteral calculous obstruction
Obstructive and reflux uropathy,N13.3,Other and unspecified hydronephrosis
Obstructive and reflux uropathy,N13.4,Hydroureter
Obstructive and reflux uropathy,N13.5,Kinking and stricture of ureter without hydronephrosis
Obstructive and reflux uropathy,N13.6,Pyonephrosis
Obstructive and reflux uropathy,N13.7,Vesicoureteral-reflux-associated uropathy
Obstructive and reflux uropathy,N13.8,Other obstructive and reflux uropathy
Obstructive and reflux uropathy,N13.9,Obstructive and reflux uropathy
Obstructive and reflux uropathy,N13.9,"Obstructive and reflux uropathy, unspecified"
