Condition,ICD10code,ICD10codeDescr
Osteoporosis,M40.2,Other and unspecified kyphosis
Osteoporosis,M80,Osteoporosis with pathological fracture
Osteoporosis,M80.0,Postmenopausal osteoporosis with pathological fracture
Osteoporosis,M80.1,Postoophorectomy osteoporosis with pathological fracture
Osteoporosis,M80.2,Osteoporosis of disuse with pathological fracture
Osteoporosis,M80.4,Drug-induced osteoporosis with pathological fracture
Osteoporosis,M80.5,Idiopathic osteoporosis with pathological fracture
Osteoporosis,M80.8,Other osteoporosis with pathological fracture
Osteoporosis,M80.9,Unspecified osteoporosis with pathological fracture
Osteoporosis,M81,Osteoporosis without pathological fracture
Osteoporosis,M81.0,Postmenopausal osteoporosis
Osteoporosis,M81.1,Postoophorectomy osteoporosis
Osteoporosis,M81.2,Osteoporosis of disuse
Osteoporosis,M81.3,Postsurgical malabsorption osteoporosis
Osteoporosis,M81.4,Drug-induced osteoporosis
Osteoporosis,M81.5,Idiopathic osteoporosis
Osteoporosis,M81.6,Localized osteoporosis [Lequesne]
Osteoporosis,M81.8,Other osteoporosis
Osteoporosis,M81.9,"Osteoporosis, unspecified"
Osteoporosis,M82,Osteoporosis in diseases classified elsewhere
Osteoporosis,M84.4,"Pathological fracture, not elsewhere classified"
