Condition,ICD10code,ICD10codeDescr
Primary malignancy other,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
Primary malignancy other,B21.0,HIV disease resulting in Kaposi sarcoma
Primary malignancy other,B21.7,HIV disease resulting in multiple malignant neoplasms
Primary malignancy other,B21.8,HIV disease resulting in other malignant neoplasms
Primary malignancy other,B21.9,HIV disease resulting in unspecified malignant neoplasm
Primary malignancy other,C17,Malignant neoplasm of small intestine
Primary malignancy other,C17.0,Malignant neoplasm: Duodenum
Primary malignancy other,C17.1,Malignant neoplasm: Jejunum
Primary malignancy other,C17.2,Malignant neoplasm: Ileum
Primary malignancy other,C17.3,Malignant neoplasm: Meckel diverticulum
Primary malignancy other,C17.8,Malignant neoplasm: Overlapping lesion of small intestine
Primary malignancy other,C17.9,"Malignant neoplasm: Small intestine, unspecified"
Primary malignancy other,C23,Malignant neoplasm of gallbladder
Primary malignancy other,C26.0,Malignant neoplasm: Intestinal tract
Primary malignancy other,C26.0,"Malignant neoplasm: Intestinal tract, part unspecified"
Primary malignancy other,C26.1,Malignant neoplasm: Spleen
Primary malignancy other,C26.8,Malignant neoplasm: Overlapping lesion of digestive system
Primary malignancy other,C26.9,Malignant neoplasm: Ill-defined sites within the digestive system
Primary malignancy other,C30.0,Malignant neoplasm: Nasal cavity
Primary malignancy other,C30.1,Malignant neoplasm: Middle ear
Primary malignancy other,C31,Malignant neoplasm of accessory sinuses
Primary malignancy other,C31.0,Malignant neoplasm: Maxillary sinus
Primary malignancy other,C31.1,Malignant neoplasm: Ethmoidal sinus
Primary malignancy other,C31.2,Malignant neoplasm: Frontal sinus
Primary malignancy other,C31.3,Malignant neoplasm: Sphenoidal sinus
Primary malignancy other,C31.8,Malignant neoplasm: Overlapping lesion of accessory sinuses
Primary malignancy other,C31.9,"Malignant neoplasm: Accessory sinus, unspecified"
Primary malignancy other,C32,Malignant neoplasm of larynx
Primary malignancy other,C37,Malignant neoplasm of thymus
Primary malignancy other,C38.0,Malignant neoplasm: Heart
Primary malignancy other,C38.1,Malignant neoplasm: Anterior mediastinum
Primary malignancy other,C38.2,Malignant neoplasm: Posterior mediastinum
Primary malignancy other,C38.3,Malignant neoplasm: Mediastinum
Primary malignancy other,C38.3,"Malignant neoplasm: Mediastinum, part unspecified"
Primary malignancy other,C38.4,Malignant neoplasm: Pleura
Primary malignancy other,C39.0,Malignant neoplasm: Upper respiratory tract
Primary malignancy other,C39.8,Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs
Primary malignancy other,C39.9,Malignant neoplasm: Ill-defined sites within the respiratory system
Primary malignancy other,C46,Kaposi sarcoma
