Condition,ICD10code,ICD10codeDescr
Coronary heart disease,I20,Angina pectoris
Coronary heart disease,I20.0,Unstable angina
Coronary heart disease,I20.8,Other forms of angina pectoris
Coronary heart disease,I20.9,"Angina pectoris, unspecified"
Coronary heart disease,I200,Unstable angina
Coronary heart disease,I201,Angina pectoris with documented spasm
Coronary heart disease,I208,Other forms of angina pectoris
Coronary heart disease,I209,Angina pectoris
Coronary heart disease,I21,Acute myocardial infarction
Coronary heart disease,I21.0,Acute transmural myocardial infarction of anterior wall
Coronary heart disease,I21.1,Acute transmural myocardial infarction of inferior wall
Coronary heart disease,I21.2,Acute transmural myocardial infarction of other sites
Coronary heart disease,I21.3,Acute transmural myocardial infarction of unspecified site
Coronary heart disease,I21.4,Acute subendocardial myocardial infarction
Coronary heart disease,I21.9,"Acute myocardial infarction, unspecified"
Coronary heart disease,I22,Subsequent myocardial infarction
Coronary heart disease,I22.0,Subsequent myocardial infarction of anterior wall
Coronary heart disease,I22.1,Subsequent myocardial infarction of inferior wall
Coronary heart disease,I22.8,Subsequent myocardial infarction of other sites
Coronary heart disease,I22.9,Subsequent myocardial infarction of unspecified site
Coronary heart disease,I23,Certain current complications following acute myocardial infarction
Coronary heart disease,I23.8,Other current complications following acute myocardial infarction
Coronary heart disease,I24,Other acute ischaemic heart diseases
Coronary heart disease,I24.0,Coronary thrombosis not resulting in myocardial infarction
Coronary heart disease,I24.1,Dressler syndrome
Coronary heart disease,I24.8,Other forms of acute ischaemic heart disease
Coronary heart disease,I24.9,"Acute ischaemic heart disease, unspecified"
Coronary heart disease,I241,Dressler's syndrome
Coronary heart disease,I25,Chronic ischaemic heart disease
Coronary heart disease,I25.1,Atherosclerotic heart disease
Coronary heart disease,I25.2,Old myocardial infarction
Coronary heart disease,I25.6,Silent myocardial ischaemia
Coronary heart disease,I25.8,Other forms of chronic ischaemic heart disease
Coronary heart disease,I25.9,"Chronic ischaemic heart disease, unspecified"
Coronary heart disease,I250,"Atherosclerotic cardiovascular disease, so described"
Coronary heart disease,I251,Atherosclerotic heart disease
Coronary heart disease,I252,Old myocardial infarction
Coronary heart disease,I253,Aneurysm of heart
Coronary heart disease,I254,Coronary artery aneurysm
Coronary heart disease,I256,Silent myocardial ischaemia
Coronary heart disease,I258,Other forms of chronic ischaemic heart disease
Coronary heart disease,I259,"Chronic ischaemic heart disease, unspecified"
Coronary heart disease,T82.2,Mechanical complication of coronary artery bypass and valve grafts
