Condition,ICD10code,ICD10codeDescr
Urolithiasis,N13.2,Hydronephrosis with renal and ureteral calculous obstruction
Urolithiasis,N20.0,Calculus of kidney
Urolithiasis,N20.1,Calculus of ureter
Urolithiasis,N20.2,Calculus of kidney with calculus of ureter
Urolithiasis,N20.9,Urinary calculus
Urolithiasis,N20.9,"Urinary calculus, unspecified"
Urolithiasis,N21.0,Calculus in bladder
Urolithiasis,N21.1,Calculus in urethra
Urolithiasis,N21.8,Other lower urinary tract calculus
Urolithiasis,N21.9,Calculus of lower urinary tract
Urolithiasis,N21.9,"Calculus of lower urinary tract, unspecified"
Urolithiasis,N22.8,Calculus of urinary tract in other diseases classified elsewhere
Urolithiasis,N23,Unspecified renal colic
