Condition,ICD10code,ICD10codeDescr
Psoriasis,L40,Psoriasis
Psoriasis,L40.0,Psoriasis vulgaris
Psoriasis,L40.1,Generalized pustular psoriasis
Psoriasis,L40.3,Pustulosis palmaris et plantaris
Psoriasis,L40.4,Guttate psoriasis
Psoriasis,L40.8,Other psoriasis
Psoriasis,L40.9,"Psoriasis, unspecified"
Psoriasis,M07.0,Distal interphalangeal psoriatic arthropathy
Psoriasis,M07.1,Arthritis mutilans
Psoriasis,M07.2,Psoriatic spondylitis
Psoriasis,M07.3,Other psoriatic arthropathies
Psoriasis,M09.0,Juvenile arthritis in psoriasis
