Condition,OPCS4code,OPCS4codeDescr,Category
Delivery and/or stillbirth,P14.1,POSTERIOR EPISIOTOMY AND DIVISION OF LEVATOR ANI MUSCLE,INCISION OF INTROITUS OF VAGINA
Delivery and/or stillbirth,P14.2,POSTERIOR EPISIOTOMY NEC,INCISION OF INTROITUS OF VAGINA
Delivery and/or stillbirth,P14.3,ANTERIOR EPISIOTOMY,INCISION OF INTROITUS OF VAGINA
Delivery and/or stillbirth,R14.1,FOREWATER RUPTURE OF AMNIOTIC MEMBRANE,SURGICAL INDUCTION OF LABOUR
Delivery and/or stillbirth,R14.2,HINDWATER RUPTURE OF AMNIOTIC MEMBRANE,SURGICAL INDUCTION OF LABOUR
Delivery and/or stillbirth,R14.8,OTHER SPECIFIED,SURGICAL INDUCTION OF LABOUR
Delivery and/or stillbirth,R14.9,UNSPECIFIED,SURGICAL INDUCTION OF LABOUR
Delivery and/or stillbirth,R15.1,MEDICAL INDUCTION OF LABOUR,OTHER INDUCTION OF LABOUR
Delivery and/or stillbirth,R15.8,OTHER SPECIFIED,OTHER INDUCTION OF LABOUR
Delivery and/or stillbirth,R15.9,UNSPECIFIED,OTHER INDUCTION OF LABOUR
Delivery and/or stillbirth,R17.1,ELECTIVE UPPER UTERINE SEGMENT CAESAREAN DELIVERY,ELECTIVE CAESAREAN DELIVERY
Delivery and/or stillbirth,R17.2,ELECTIVE LOWER UTERINE SEGMENT CAESAREAN DELIVERY,ELECTIVE CAESAREAN DELIVERY
Delivery and/or stillbirth,R17.8,OTHER SPECIFIED,ELECTIVE CAESAREAN DELIVERY
Delivery and/or stillbirth,R17.9,UNSPECIFIED,ELECTIVE CAESAREAN DELIVERY
Delivery and/or stillbirth,R18.1,UPPER UTERINE SEGMENT CAESAREAN DELIVERY NEC,OTHER CAESAREAN DELIVERY
Delivery and/or stillbirth,R18.2,LOWER UTERINE SEGMENT CAESAREAN DELIVERY NEC,OTHER CAESAREAN DELIVERY
Delivery and/or stillbirth,R18.8,OTHER SPECIFIED,OTHER CAESAREAN DELIVERY
Delivery and/or stillbirth,R18.9,UNSPECIFIED,OTHER CAESAREAN DELIVERY
Delivery and/or stillbirth,R19.1,BREECH EXTRACTION DELIVERY WITH VERSION,BREECH EXTRACTION DELIVERY
Delivery and/or stillbirth,R19.8,OTHER SPECIFIED,BREECH EXTRACTION DELIVERY
Delivery and/or stillbirth,R19.9,UNSPECIFIED,BREECH EXTRACTION DELIVERY
Delivery and/or stillbirth,R20.1,SPONTANEOUS BREECH DELIVERY,OTHER BREECH DELIVERY
Delivery and/or stillbirth,R20.2,ASSISTED BREECH DELIVERY,OTHER BREECH DELIVERY
Delivery and/or stillbirth,R20.8,OTHER SPECIFIED,OTHER BREECH DELIVERY
Delivery and/or stillbirth,R20.9,UNSPECIFIED,OTHER BREECH DELIVERY
Delivery and/or stillbirth,R21.1,HIGH FORCEPS CEPHALIC DELIVERY WITH ROTATION,FORCEPS CEPHALIC DELIVERY
Delivery and/or stillbirth,R21.2,HIGH FORCEPS CEPHALIC DELIVERY NEC,FORCEPS CEPHALIC DELIVERY
Delivery and/or stillbirth,R21.3,MID FORCEPS CEPHALIC DELIVERY WITH ROTATION,FORCEPS CEPHALIC DELIVERY
Delivery and/or stillbirth,R21.4,MID FORCEPS CEPHALIC DELIVERY NEC,FORCEPS CEPHALIC DELIVERY
Delivery and/or stillbirth,R21.5,LOW FORCEPS CEPHALIC DELIVERY,FORCEPS CEPHALIC DELIVERY
Delivery and/or stillbirth,R21.8,OTHER SPECIFIED,FORCEPS CEPHALIC DELIVERY
Delivery and/or stillbirth,R21.9,UNSPECIFIED,FORCEPS CEPHALIC DELIVERY
Delivery and/or stillbirth,R22.1,HIGH VACUUM DELIVERY,VACUUM DELIVERY
Delivery and/or stillbirth,R22.2,LOW VACUUM DELIVERY,VACUUM DELIVERY
Delivery and/or stillbirth,R22.3,VACUUM DELIVERY BEFORE FULL DILATION OF CERVIX,VACUUM DELIVERY
Delivery and/or stillbirth,R22.8,OTHER SPECIFIED,VACUUM DELIVERY
Delivery and/or stillbirth,R22.9,UNSPECIFIED,VACUUM DELIVERY
Delivery and/or stillbirth,R23.1,MANIPULATIVE CEPHALIC VAGINAL DELIVERY WITH ABNORMAL PRESENT,CEPHALIC VAGINAL DELIVERY WITH ABNORMAL PRESENTATION OF
Delivery and/or stillbirth,R23.2,NON-MANIPULATIVE CEPHALIC VAGINAL DELIVERY WITH ABNORMAL PRE,CEPHALIC VAGINAL DELIVERY WITH ABNORMAL PRESENTATION OF
Delivery and/or stillbirth,R23.8,OTHER SPECIFIED,CEPHALIC VAGINAL DELIVERY WITH ABNORMAL PRESENTATION OF
Delivery and/or stillbirth,R23.9,UNSPECIFIED,CEPHALIC VAGINAL DELIVERY WITH ABNORMAL PRESENTATION OF
Delivery and/or stillbirth,R24.9,ALL,NORMAL DELIVERY
Delivery and/or stillbirth,R25.1,CAESAREAN HYSTERECTOMY,OTHER METHODS OF DELIVERY
Delivery and/or stillbirth,R25.2,DESTRUCTIVE OPERATION TO FACILITATE DELIVERY,OTHER METHODS OF DELIVERY
Delivery and/or stillbirth,R25.8,OTHER SPECIFIED,OTHER METHODS OF DELIVERY
Delivery and/or stillbirth,R25.9,UNSPECIFIED,OTHER METHODS OF DELIVERY
Delivery and/or stillbirth,R27.1,EPISIOTOMY TO FACILITATE DELIVERY,OTHER OPERATIONS TO FACILITATE DELIVERY
Delivery and/or stillbirth,R27.8,OTHER SPECIFIED,OTHER OPERATIONS TO FACILITATE DELIVERY
Delivery and/or stillbirth,R27.9,UNSPECIFIED,OTHER OPERATIONS TO FACILITATE DELIVERY
Delivery and/or stillbirth,R28.1,CURETTAGE OF DELIVERED UTERUS,INSTRUMENTAL REMOVAL/PRODUCTS/CONCEPTION FROM DEL.UTERU
Delivery and/or stillbirth,R28.8,OTHER SPECIFIED,INSTRUMENTAL REMOVAL/PRODUCTS/CONCEPTION FROM DEL.UTERU
Delivery and/or stillbirth,R28.9,UNSPECIFIED,INSTRUMENTAL REMOVAL/PRODUCTS/CONCEPTION FROM DEL.UTERU
Delivery and/or stillbirth,R29.1,MANUAL REMOVAL OF PLACENTA FROM DELIVERED UTERUS,MANUAL REMOVAL/PRODUCTS/CONCEPTION FROM DELIVERED UTERU
Delivery and/or stillbirth,R29.8,OTHER SPECIFIED,MANUAL REMOVAL/PRODUCTS/CONCEPTION FROM DELIVERED UTERU
Delivery and/or stillbirth,R29.9,UNSPECIFIED,MANUAL REMOVAL/PRODUCTS/CONCEPTION FROM DELIVERED UTERU
Delivery and/or stillbirth,R30.1,REPOSITIONING OF INVERTED DELIVERED UTERUS,OTHER OPERATIONS ON DELIVERED UTERUS
Delivery and/or stillbirth,R30.2,EXPRESSION OF PLACENTA,OTHER OPERATIONS ON DELIVERED UTERUS
Delivery and/or stillbirth,R30.3,INSTRUMENTAL EXPLORATION OF DELIVERED UTERUS NEC,OTHER OPERATIONS ON DELIVERED UTERUS
Delivery and/or stillbirth,R30.4,MANUAL EXPLORATION OF DELIVERED UTERUS NEC,OTHER OPERATIONS ON DELIVERED UTERUS
Delivery and/or stillbirth,R30.8,OTHER SPECIFIED,OTHER OPERATIONS ON DELIVERED UTERUS
Delivery and/or stillbirth,R30.9,UNSPECIFIED,OTHER OPERATIONS ON DELIVERED UTERUS
