Condition,Prodcode,ProductName,Gemscriptcode
Constipation,12,Lactulose 3.35g/5ml Oral solution,63906020
Constipation,52,Senna 7.5mg tablets,66580020
Constipation,54,Fybogel sugar free Granules (Reckitt Benckiser Healthcare (UK) Ltd),58283020
Constipation,171,Senokot 7.5mg tablets (Reckitt Benckiser Healthcare (UK) Ltd),58306020
Constipation,174,Milk of magnesia Liquid (Sterling-Winthrop),73609020
Constipation,358,Co-danthrusate 50mg/60mg capsules,68225020
Constipation,1026,Fybogel Mebeverine effervescent granules sachets orange (Reckitt Benckiser Healthcare (UK) Ltd),52040020
Constipation,1207,Micolette Micro-enema 5ml (Pinewood Healthcare),52561020
Constipation,1227,Ispaghula husk gluten-free sugar free granules,66411020
Constipation,1435,Micralax micro Enema (UCB Pharma Ltd),50397020
Constipation,1561,Co-danthramer 25mg/200mg/5ml oral suspension sugar free,72423020
Constipation,1655,ISPAGHULA HUSK 66 % GRA,2376007
Constipation,1701,Lactitol 10g Powder,53840020
Constipation,1858,Senna 7.5mg/5ml oral solution,66581020
Constipation,2063,Co-danthrusate 50mg/60mg/5ml oral suspension sugar free,68226020
Constipation,2173,Magnesium sulfate mixture,52469020
Constipation,2337,Ispaghula husk 3.4g oral powder sachets gluten free sugar free,66417020
Constipation,2364,Celevac 500mg tablets (AMCo),48595020
Constipation,2451,Bisacodyl 5mg gastro-resistant tablets,67675020
Constipation,2468,Docusate 100mg capsules,62781020
Constipation,2494,Manevac granules (Meda Pharmaceuticals Ltd),68582020
Constipation,2582,Ispaghula husk gluten-free sugar free 3.6g effervesant powder,66416020
Constipation,2699,Docusate sodium 100mg tablets,62769020
Constipation,2770,Bisacodyl 5mg suppositories,69611020
Constipation,2771,Bisacodyl 10mg suppositories,69612020
Constipation,2861,Magnesium hydroxide oral suspension,54288020
Constipation,2905,Docusol Paediatric 12.5mg/5ml oral solution (Typharm Ltd),62797020
Constipation,2989,Glycerol 1g suppositories,52447020
Constipation,2993,Isogel Granules (Pfizer Consumer Healthcare Ltd),49976020
Constipation,3098,Regulan 3.4g Powder (Procter & Gamble (Health & Beauty Care) Ltd),51360020
