Condition,ReadCode,MedCodeId,ReadTerm
ADHD and hyperkinetic disorders,6A61.00,1551611000000112,Attention deficit hyperactivity disorder annual review
ADHD and hyperkinetic disorders,8BPT.00,1885221000006117,Drug therapy for ADHD (attention deficit hyperactivity disorder)
ADHD and hyperkinetic disorders,8BPT000,1885231000006119,Stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)
ADHD and hyperkinetic disorders,8BPT100,1885241000006112,Non-stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)
ADHD and hyperkinetic disorders,9Ngp.00,1886751000006113,On drug therapy for ADHD (attention deficit hyperactivity disorder)
ADHD and hyperkinetic disorders,9Ngp000,1886761000006110,On stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)
ADHD and hyperkinetic disorders,9Ngp100,1886771000006115,On non-stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)
ADHD and hyperkinetic disorders,9Ol8.00,1742541000006113,Attention deficit hyperactivity disorder monitoring invitation first letter
ADHD and hyperkinetic disorders,9Ol9.00,1742551000006110,Attention deficit hyperactivity disorder monitoring invitation second letter
ADHD and hyperkinetic disorders,9OlA.00,1742561000006112,Attention deficit hyperactivity disorder monitoring invitation third letter
ADHD and hyperkinetic disorders,E2E..00,550441000006114,Childhood hyperkinetic syndrome
ADHD and hyperkinetic disorders,E2E..11,2163264017,Overactive child syndrome
ADHD and hyperkinetic disorders,E2E0.00,295618015,Child attention deficit disorder
ADHD and hyperkinetic disorders,E2E0100,498881000006117,Attention deficit with hyperactivity
ADHD and hyperkinetic disorders,E2E0z00,295621018,Child attention deficit disorder NOS
ADHD and hyperkinetic disorders,E2E1.00,295622013,Hyperkinesis with developmental delay
ADHD and hyperkinetic disorders,E2E2.00,295623015,Hyperkinetic conduct disorder
ADHD and hyperkinetic disorders,E2Ey.00,295624014,Other hyperkinetic manifestation
ADHD and hyperkinetic disorders,E2Ez.00,295625010,Hyperkinetic syndrome NOS
ADHD and hyperkinetic disorders,Eu84400,417681000006116,[X]Overactive disorder assoc mental retard/stereotype movts
ADHD and hyperkinetic disorders,Eu90.00,389281000006118,[X]Hyperkinetic disorders
ADHD and hyperkinetic disorders,Eu90000,296687014,[X]Disturbance of activity and attention
ADHD and hyperkinetic disorders,Eu90011,366481000006113,Attention deficit hyperactivity disorder
ADHD and hyperkinetic disorders,Eu90100,389251000006114,[X]Hyperkinetic conduct disorder
ADHD and hyperkinetic disorders,Eu90111,389261000006111,[X]Hyperkinetic disorder associated with conduct disorder
ADHD and hyperkinetic disorders,Eu90y00,296689012,[X]Other hyperkinetic disorders
ADHD and hyperkinetic disorders,Eu90z00,296690015,"[X]Hyperkinetic disorder, unspecified"
ADHD and hyperkinetic disorders,Eu90z11,389291000006115,[X]Hyperkinetic reaction of childhood or adolescence NOS
ADHD and hyperkinetic disorders,Eu90z12,389301000006119,[X]Hyperkinetic syndrome NOS
ADHD and hyperkinetic disorders,Eu9y700,486106015,Attention deficit disorder
ADHD and hyperkinetic disorders,ZS91.00,486106015,Attention deficit disorder
ADHD and hyperkinetic disorders,ZS91.11,3068161000006118,ADD - Attention deficit disorder
Adrenal insufficiency and Addison's disease,7122.00,485064014,Excision of adrenal gland operations
Adrenal insufficiency and Addison's disease,7122000,266381013,Bilateral adrenalectomy and transposition of adrenal tissue
Adrenal insufficiency and Addison's disease,7122100,266382018,Bilateral adrenalectomy
Adrenal insufficiency and Addison's disease,A176.00,286325014,Tuberculosis of adrenal glands - Addison's disease
Adrenal insufficiency and Addison's disease,C154.00,1491626013,Corticoadrenal insufficiency
Adrenal insufficiency and Addison's disease,C154000,482035011,Acute adrenal insufficiency
Adrenal insufficiency and Addison's disease,C154011,460981000006112,Addisonian crisis
Adrenal insufficiency and Addison's disease,C154012,41676015,Adrenal crisis
Adrenal insufficiency and Addison's disease,C154100,485624014,Addison's disease
Adrenal insufficiency and Addison's disease,C154600,41677012,Addisonian crisis
Adrenal insufficiency and Addison's disease,C154z00,398809019,Corticoadrenal insufficiency NOS
Adrenal insufficiency and Addison's disease,C154z11,178805019,Adrenal hypofunction
Adrenal insufficiency and Addison's disease,C154z12,356317017,Adrenal insufficiency
Adrenal insufficiency and Addison's disease,C155.00,292837019,Hypoadrenalism
Adrenal insufficiency and Addison's disease,C155z00,292838012,Other adrenal hypofunction NOS
