"Disease","OPCS4code","OPCS4codeDescr"
"Female genital prolapse","P22","Repair of prolapse of vagina and amputation of cervix uteri"
"Female genital prolapse","P22.2","Anterior colporrhaphy and amputation of cervix uteri NEC"
"Female genital prolapse","P22.3","Posterior colporrhaphy and amputation of cervix uteri NEC"
"Female genital prolapse","P22.9","Unspecified repair of prolapse of vagina and amputation of cervix uteri"
"Female genital prolapse","P23","Other repair of prolapse of vagina"
"Female genital prolapse","P23.1","Anterior and posterior colporrhaphy NEC"
"Female genital prolapse","P23.2","Anterior colporrhaphy NEC"
"Female genital prolapse","P23.3","Posterior colporrhaphy NEC"
"Female genital prolapse","P23.4","Repair of enterocele NEC"
"Female genital prolapse","P23.9","Unspecified other repair of prolapse of vagina"
"Female genital prolapse","P23.6","Anterior colporrhaphy with mesh reinforcement"
"Female genital prolapse","P23.5","Paravaginal repair"
"Female genital prolapse","P23.7","Posterior colporrhaphy with mesh reinforcement"
"Female genital prolapse","P23.8","Other specified other repair of prolapse of vagina"
"Female genital prolapse","P24","Repair of vault of vagina"
"Female genital prolapse","P24.3","Repair of vault of vagina using abdominal approach NEC"
"Female genital prolapse","P24.4","Repair of vault of vagina using vaginal approach NEC"
"Female genital prolapse","P24.2","Sacrocolpopexy"
"Female genital prolapse","P24.9","Unspecified repair of vault of vagina"
"Female genital prolapse","P24.7","Sacrospinous fixation of vagina"
"Female genital prolapse","P24.5","Repair of vault of vagina with mesh using abdominal approach"
"Female genital prolapse","P24.6","Repair of vault of vagina with mesh using vaginal approach"
"Female genital prolapse","P24.8","Other specified repair of vault of vagina"
"Female genital prolapse","P25.5","Suture of vagina"
"Female genital prolapse","P26","Introduction of supporting pessary into vagina"
"Female genital prolapse","P26.1","Insertion of Hodge pessary into vagina"
"Female genital prolapse","P26.2","Insertion of ring pessary into vagina"
"Female genital prolapse","P26.3","Removal of supporting pessary from vagina"
"Female genital prolapse","P26.8","Other specified introduction of supporting pessary into vagina"
"Female genital prolapse","P26.4","Renewal of supporting pessary in vagina"
"Female genital prolapse","P26.9","Unspecified introduction of supporting pessary into vagina"
