"Disease","OPCS4code","OPCS4codeDescr"
"Glaucoma","C60.1","Trabeculectomy"
"Glaucoma","C60.2","Inclusion of iris"
"Glaucoma","C60.3","Fixation of iris"
"Glaucoma","C60.4","Iridoplasty NEC"
"Glaucoma","C60.5","Insertion of tube into anterior chamber of eye to assist drainage of aqueous humour"
"Glaucoma","C60.6","Viscocanulostomy"
"Glaucoma","C60.8","Other specified filtering operations on iris"
"Glaucoma","C60.9","Unspecified filtering operations on iris"
"Glaucoma","C61.1","Laser trabeculoplasty"
"Glaucoma","C61.2","Trabeculotomy"
"Glaucoma","C61.3","Goniotomy"
"Glaucoma","C61.4","Goniopuncture"
"Glaucoma","C61.5","Viscogonioplasty"
"Glaucoma","C61.8","Other specified other operations on trabecular meshwork of eye"
"Glaucoma","C61.9","Unspecified other operations on trabecular meshwork of eye"
"Glaucoma","C62.1","Iridosclerotomy"
"Glaucoma","C62.2","Surgical iridotomy"
"Glaucoma","C62.3","Laser iridotomy"
"Glaucoma","C62.4","Correction iridodialysis NEC"
"Glaucoma","C62.8","Other specified incision of iris"
"Glaucoma","C62.9","Unspecified incision of iris"
"Glaucoma","C65","Operations following glaucoma surgery"
"Glaucoma","C65.1","Needling of bleb"
"Glaucoma","C65.2","Injection of bleb"
"Glaucoma","C65.3","Revision of bleb NEC"
"Glaucoma","C65.4","Removal of releasable suture following glaucoma surgery"
"Glaucoma","C65.5","Laser suture lysis following glaucoma surgery"
"Glaucoma","C65.8","Other specified operations following glaucoma surgery"
"Glaucoma","C65.9","Unspecified operations following glaucoma surgery"
