"Disease","OPCS4code","OPCS4codeDescr"
"Portal hypertension and oesophageal varices","G10","Open operations on varices of oesophagus"
"Portal hypertension and oesophageal varices","G10.1","Disconnection of azygos vein"
"Portal hypertension and oesophageal varices","G10.2","Transection of oesophagus using staple gun"
"Portal hypertension and oesophageal varices","G10.3","Transection of oesophagus NEC"
"Portal hypertension and oesophageal varices","G10.4","Local ligation of varices of oesophagus"
"Portal hypertension and oesophageal varices","G10.5","Open injection sclerotherapy to varices of oesophagus"
"Portal hypertension and oesophageal varices","G10.8","Other specified open operations on varices of oesophagus"
"Portal hypertension and oesophageal varices","G10.9","Unspecified open operations on varices of oesophagus"
"Portal hypertension and oesophageal varices","G14.8","Other specified fibreoptic endoscopic extirpation of lesion of oesophagus"
"Portal hypertension and oesophageal varices","G17.4","Endoscopic injection sclerotherapy to varices of oesophagus using rigid oesophagoscope"
"Portal hypertension and oesophageal varices","G17.8","Other specified endoscopic extirpation of lesion of oesophagus using rigid oesophagoscope"
"Portal hypertension and oesophageal varices","G43.7","Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices"
