"Disease","OPCS4code","OPCS4codeDescr"
"Peripheral venous and lymphatic disease","L83.2","Subfascial ligation of perforating vein of leg"
"Peripheral venous and lymphatic disease","L85","Ligation of varicose vein of leg"
"Peripheral venous and lymphatic disease","L85.3","Ligation of recurrent varicose vein of leg"
"Peripheral venous and lymphatic disease","L85.8","Other specified ligation of varicose vein of leg"
"Peripheral venous and lymphatic disease","L85.9","Unspecified ligation of varicose vein of leg"
"Peripheral venous and lymphatic disease","L86","Injection into varicose vein of leg"
"Peripheral venous and lymphatic disease","L86.1","Injection of sclerosing substance into varicose vein of leg NEC"
"Peripheral venous and lymphatic disease","L87.7","Transilluminated powered phlebectomy of varicose vein of leg"
"Peripheral venous and lymphatic disease","L86.8","Other specified injection into varicose vein of leg"
"Peripheral venous and lymphatic disease","L86.9","Unspecified injection into varicose vein of leg"
"Peripheral venous and lymphatic disease","L87","Other operations on varicose vein of leg"
"Peripheral venous and lymphatic disease","L87.5","Local excision of varicose vein of leg"
"Peripheral venous and lymphatic disease","L87.6","Incision of varicose vein of leg"
"Peripheral venous and lymphatic disease","L87.8","Other specified other operations on varicose vein of leg"
"Peripheral venous and lymphatic disease","L87.9","Unspecified other operations on varicose vein of leg"
"Peripheral venous and lymphatic disease","L84","Combined operations on varicose vein of leg"
"Peripheral venous and lymphatic disease","L84.8","Other specified combined operations on varicose vein of leg"
"Peripheral venous and lymphatic disease","L84.9","Unspecified combined operations on varicose vein of leg"
"Peripheral venous and lymphatic disease","L88","Transluminal operations on varicose vein of leg"
"Peripheral venous and lymphatic disease","L88.2","Radiofrequency ablation of varicose vein of leg"
"Peripheral venous and lymphatic disease","L88.8","Other specified transluminal operations on varicose vein of leg"
"Peripheral venous and lymphatic disease","L88.9","Unspecified transluminal operations on varicose vein of leg"
"Peripheral venous and lymphatic disease","T92","Other operations on lymphatic tissue"
"Peripheral venous and lymphatic disease","T92.2","Excision of lymphoedematous tissue of arm"
"Peripheral venous and lymphatic disease","T92.3","Excision of lymphoedematous tissue of leg and buried flaps HFQ"
"Peripheral venous and lymphatic disease","T92.4","Excision of lymphoedematous tissue of leg NEC"
"Peripheral venous and lymphatic disease","T92.5","Excision of lymphoedematous tissue of scrotum"
"Peripheral venous and lymphatic disease","T92.6","Excision of lymphoedematous tissue NEC"
"Peripheral venous and lymphatic disease","T92.8","Other specified other operations on lymphatic tissue"
