Disease,ICD10code,ICD10codeDescr
Coronary heart disease,I250,"Atherosclerotic cardiovascular disease, so described"
Coronary heart disease,I251,Atherosclerotic heart disease
Coronary heart disease,I253,Aneurysm of heart
Coronary heart disease,I254,Coronary artery aneurysm
Coronary heart disease,I255,Ischaemic cardiomyopathy
Coronary heart disease,I256,Silent myocardial ischaemia
Coronary heart disease,I258,Other forms of chronic ischaemic heart disease
Coronary heart disease,I259,"Chronic ischaemic heart disease, unspecified"
Coronary heart disease,I252,Old myocardial infarction
Coronary heart disease,I21,Acute myocardial infarction
Coronary heart disease,I22,Subsequent myocardial infarction
Coronary heart disease,I23,Certain current complications following acute myocardial infarction
Coronary heart disease,I241,Dressler's syndrome
Coronary heart disease,I201,Angina pectoris with documented spasm
Coronary heart disease,I208,Other forms of angina pectoris
Coronary heart disease,I209,Angina pectoris
Coronary heart disease,I200,Unstable angina
