Disease,ICD10code,ICD10codeDescr
COPD,J41,Simple and mucopurulent chronic bronchitis
COPD,J42,Unspecified chronic bronchitis
COPD,J43,Emphysema
COPD,J44,Other chronic obstructive pulmonary disease
COPD,J41.0,Simple chronic bronchitis
COPD,J41.1,Mucopurulent chronic bronchitis
COPD,J44.8,Other specified chronic obstructive pulmonary disease
COPD,J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"
COPD,J41.8,Mixed simple and mucopurulent chronic bronchitis
COPD,J43.9,"Emphysema, unspecified"
COPD,J43.8,Other emphysema
COPD,J43.1,Panlobular emphysema
COPD,J43.2,Centrilobular emphysema
COPD,J44.9,"Chronic obstructive pulmonary disease, unspecified"
COPD,J68.4,"Chronic respiratory conditions due to chemicals, gases, fumes and vapours"
COPD,J82,"Pulmonary eosinophilia, not elsewhere classified"
