Disease,ICD10code,ICD10codeDescr
Infection of bones and joints,A18.0,Tuberculosis of bones and joints
Infection of bones and joints,A54.4,Gonococcal infection of musculoskeletal system
Infection of bones and joints,B45.3,Osseous cryptococcosis
Infection of bones and joints,B67.2,Echinococcus granulosus infection of bone
Infection of bones and joints,B90.2,Sequelae of tuberculosis of bones and joints
Infection of bones and joints,M00,Pyogenic arthritis
Infection of bones and joints,M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
Infection of bones and joints,M46.2,Osteomyelitis of vertebra
Infection of bones and joints,M46.3,Infection of intervertebral disc (pyogenic)
Infection of bones and joints,M46.4,Discitis, unspecified
Infection of bones and joints,M46.5,Other infective spondylopathies
Infection of bones and joints,M49.0,Tuberculosis of spine
Infection of bones and joints,M49.1,Brucella spondylitis
Infection of bones and joints,M49.2,Enterobacterial spondylitis
Infection of bones and joints,M49.3,Spondylopathy in other infectious and parasitic diseases classified elsewhere
Infection of bones and joints,M86,Osteomyelitis
Infection of bones and joints,M90.0,Tuberculosis of bone
Infection of bones and joints,M90.1,Periostitis in other infectious diseases classified elsewhere
Infection of bones and joints,M90.2,Osteopathy in other infectious diseases classified elsewhere
