Disease,ICD10code,ICD10codeDescr
Personality disorders,F60,Specific personality disorders
Personality disorders,F61,Mixed and other personality disorders
Personality disorders,F60.0,Paranoid personality disorder
Personality disorders,F60.1,Schizoid personality disorder
Personality disorders,F60.2,Dissocial personality disorder
Personality disorders,F60.3,Emotionally unstable personality disorder
Personality disorders,F60.4,Histrionic personality disorder
Personality disorders,F60.5,Anankastic personality disorder
Personality disorders,F60.6,Anxious [avoidant] personality disorder
Personality disorders,F60.7,Dependent personality disorder
Personality disorders,F60.8,Other specific personality disorders
Personality disorders,F60.9,"Personality disorder, unspecified"
Personality disorders,F68,Other disorders of adult personality and behaviour
Personality disorders,F69,Unspecified disorder of adult personality and behaviour
