Disease,ICD10code,ICD10codeDescr
Rheumatoid Arthritis,J99.0,Rheumatoid lung disease
Rheumatoid Arthritis,M05,Seropositive rheumatoid arthritis
Rheumatoid Arthritis,M06,Other rheumatoid arthritis
Rheumatoid Arthritis,M06.1,Adult-onset Still disease
Rheumatoid Arthritis,M06.9,"Rheumatoid arthritis, unspecified"
Rheumatoid Arthritis,M05.2,Rheumatoid vasculitis
Rheumatoid Arthritis,M06.0,Seronegative rheumatoid arthritis
Rheumatoid Arthritis,M06.2,Rheumatoid bursitis
Rheumatoid Arthritis,M06.3,Rheumatoid nodule
Rheumatoid Arthritis,M05.0,Felty syndrome
Rheumatoid Arthritis,M05.9,"Seropositive rheumatoid arthritis, unspecified"
Rheumatoid Arthritis,M05.8,Other seropositive rheumatoid arthritis
Rheumatoid Arthritis,M06.8,Other specified rheumatoid arthritis
