Disease,ICD10code,ICD10codeDescr
Scoliosis,M41,Scoliosis
Scoliosis,I27.1,Kyphoscoliotic heart disease
Scoliosis,M41.9,"Scoliosis, unspecified"
Scoliosis,M41.2,Other idiopathic scoliosis
Scoliosis,M41.0,Infantile idiopathic scoliosis
Scoliosis,M41.3,Thoracogenic scoliosis
Scoliosis,M41.8,Other forms of scoliosis
Scoliosis,M41.1,Juvenile idiopathic scoliosis
Scoliosis,M96.8,Other postprocedural musculoskeletal disorders
Scoliosis,M41.5,Other secondary scoliosis
Scoliosis,M41.4,Neuromuscular scoliosis
Scoliosis,Q67.5,Congenital deformity of spine
Scoliosis,Q76.3,Congenital scoliosis due to congenital bony malformation
