Disease,ICD10code,ICD10codeDescr
Cardiomyopathy other,I42.0,Dilated cardiomyopathy
Cardiomyopathy other,I42.6,Alcoholic cardiomyopathy
Cardiomyopathy other,I25.5,Ischaemic cardiomyopathy
Cardiomyopathy other,I42.3,Endomyocardial (eosinophilic) disease
Cardiomyopathy other,I42.5,Other restrictive cardiomyopathy
Cardiomyopathy other,I42.7,Cardiomyopathy due to drugs and other external agents
Cardiomyopathy other,I42.8,Other cardiomyopathies
Cardiomyopathy other,I42.9,Cardiomyopathy
Cardiomyopathy other,I43,Cardiomyopathy in diseases classified elsewhere
Cardiomyopathy other,I42.9,"Cardiomyopathy, unspecified"
Cardiomyopathy other,I255,Ischaemic cardiomyopathy
Cardiomyopathy other,I25.5,Ischaemic cardiomyopathy
