Disease,ICD10code,ICD10codeDescr
Primary Malignancy_Other,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
Primary Malignancy_Other,B21.0,HIV disease resulting in Kaposi sarcoma
Primary Malignancy_Other,B21.7,HIV disease resulting in multiple malignant neoplasms
Primary Malignancy_Other,B21.8,HIV disease resulting in other malignant neoplasms
Primary Malignancy_Other,B21.9,HIV disease resulting in unspecified malignant neoplasm
Primary Malignancy_Other,C17,Malignant neoplasm of small intestine
Primary Malignancy_Other,C17.0,Malignant neoplasm: Duodenum
Primary Malignancy_Other,C17.1,Malignant neoplasm: Jejunum
Primary Malignancy_Other,C17.2,Malignant neoplasm: Ileum
Primary Malignancy_Other,C17.3,Malignant neoplasm: Meckel diverticulum
Primary Malignancy_Other,C17.8,Malignant neoplasm: Overlapping lesion of small intestine
Primary Malignancy_Other,C17.9,"Malignant neoplasm: Small intestine, unspecified"
Primary Malignancy_Other,C23,Malignant neoplasm of gallbladder
Primary Malignancy_Other,C26.0,Malignant neoplasm: Intestinal tract
Primary Malignancy_Other,C26.0,"Malignant neoplasm: Intestinal tract, part unspecified"
Primary Malignancy_Other,C26.1,Malignant neoplasm: Spleen
Primary Malignancy_Other,C26.8,Malignant neoplasm: Overlapping lesion of digestive system
Primary Malignancy_Other,C26.9,Malignant neoplasm: Ill-defined sites within the digestive system
Primary Malignancy_Other,C30.0,Malignant neoplasm: Nasal cavity
Primary Malignancy_Other,C30.1,Malignant neoplasm: Middle ear
Primary Malignancy_Other,C31,Malignant neoplasm of accessory sinuses
Primary Malignancy_Other,C31.0,Malignant neoplasm: Maxillary sinus
Primary Malignancy_Other,C31.1,Malignant neoplasm: Ethmoidal sinus
Primary Malignancy_Other,C31.2,Malignant neoplasm: Frontal sinus
Primary Malignancy_Other,C31.3,Malignant neoplasm: Sphenoidal sinus
Primary Malignancy_Other,C31.8,Malignant neoplasm: Overlapping lesion of accessory sinuses
Primary Malignancy_Other,C31.9,"Malignant neoplasm: Accessory sinus, unspecified"
Primary Malignancy_Other,C32,Malignant neoplasm of larynx
Primary Malignancy_Other,C37,Malignant neoplasm of thymus
Primary Malignancy_Other,C38.0,Malignant neoplasm: Heart
Primary Malignancy_Other,C38.1,Malignant neoplasm: Anterior mediastinum
Primary Malignancy_Other,C38.2,Malignant neoplasm: Posterior mediastinum
Primary Malignancy_Other,C38.3,Malignant neoplasm: Mediastinum
Primary Malignancy_Other,C38.3,"Malignant neoplasm: Mediastinum, part unspecified"
Primary Malignancy_Other,C38.4,Malignant neoplasm: Pleura
Primary Malignancy_Other,C38.8,Overlapping lesion of heart
