Disease,ICD10code,ICD10codeDescr
Intracerebral haemorrhage,I61,Intracerebral haemorrhage
Intracerebral haemorrhage,I69.1,Sequelae of intracerebral haemorrhage
Intracerebral haemorrhage,I61.1,"Intracerebral haemorrhage in hemisphere, cortical"
Intracerebral haemorrhage,I61.0,"Intracerebral haemorrhage in hemisphere, subcortical"
Intracerebral haemorrhage,I61.4,Intracerebral haemorrhage in cerebellum
Intracerebral haemorrhage,I61.3,Intracerebral haemorrhage in brain stem
Intracerebral haemorrhage,I61.5,"Intracerebral haemorrhage, intraventricular"
Intracerebral haemorrhage,I61.6,"Intracerebral haemorrhage, multiple localized"
Intracerebral haemorrhage,I61.2,"Intracerebral haemorrhage in hemisphere, unspecified"
Intracerebral haemorrhage,I61.9,"Intracerebral haemorrhage, unspecified"
Intracerebral haemorrhage,I69.2,Sequelae of other nontraumatic intracranial haemorrhage
Intracerebral haemorrhage,I61.8,Other intracerebral haemorrhage
