"Disease","ICD10code","ICD10codeDescr"
"Painful conditions","F45.4","Persistent somatoform pain disorder"
"Painful conditions","G50.1","Atypical facial pain"
"Painful conditions","G54.6","Phantom limb syndrome with pain"
"Painful conditions","G54.7","Phantom limb syndrome without pain"
"Painful conditions","H57.1","Ocular pain"
"Painful conditions","M25.5","Pain in joint"
"Painful conditions","M54.5","Low back pain"
"Painful conditions","M54.6","Pain in thoracic spine"
"Painful conditions","M79.6","Pain in limb"
"Painful conditions","N94","Pain and other conditions associated with female genital organs and menstrual cycle"
"Painful conditions","R07","Pain in throat and chest"
"Painful conditions","R07.0","Pain in throat"
"Painful conditions","R07.1","Chest pain on breathing"
"Painful conditions","R07.2","Precordial pain"
"Painful conditions","R07.3","Other chest pain"
"Painful conditions","R07.4","Chest pain, unspecified"
"Painful conditions","R10","Abdominal and pelvic pain"
"Painful conditions","R10.1","Pain localized to upper abdomen"
"Painful conditions","R10.2","Pelvic and perineal pain"
"Painful conditions","R10.3","Pain localized to other parts of lower abdomen"
"Painful conditions","R10.4","Other and unspecified abdominal pain"
"Painful conditions","R20.3","Hyperaesthesia"
"Painful conditions","R30","Pain associated with micturition"
"Painful conditions","R30.9","Painful micturition, unspecified"
"Painful conditions","R52","Pain, not elsewhere classified"
"Painful conditions","R52.0","Acute pain"
"Painful conditions","R52.1","Chronic intractable pain"
"Painful conditions","R52.2","Other chronic pain"
"Painful conditions","R52.9","Pain, unspecified"
"Painful conditions","T65.6","Toxic effect: Paints and dyes, not elsewhere classified"
