Disease,ICD10code,ICD10codeDescr
Subarachnoid haemorrhage,I60,Subarachnoid haemorrhage
Subarachnoid haemorrhage,I69.0,Sequelae of subarachnoid haemorrhage
Subarachnoid haemorrhage,I60.9,"Subarachnoid haemorrhage, unspecified"
Subarachnoid haemorrhage,I60.7,"Subarachnoid haemorrhage from intracranial artery, unspecified"
Subarachnoid haemorrhage,I60.0,Subarachnoid haemorrhage from carotid siphon and bifurcation
Subarachnoid haemorrhage,I60.1,Subarachnoid haemorrhage from middle cerebral artery
Subarachnoid haemorrhage,I60.2,Subarachnoid haemorrhage from anterior communicating artery
Subarachnoid haemorrhage,I60.3,Subarachnoid haemorrhage from posterior communicating artery
Subarachnoid haemorrhage,I60.4,Subarachnoid haemorrhage from basilar artery
Subarachnoid haemorrhage,I60.5,Subarachnoid haemorrhage from vertebral artery
Subarachnoid haemorrhage,I60.6,Subarachnoid haemorrhage from other intracranial arteries
Subarachnoid haemorrhage,I60.8,Other subarachnoid haemorrhage
Subarachnoid haemorrhage,S06.6,Traumatic subarachnoid haemorrhage
