Disease,ICD10code,ICD10codeDescr
Congenital cardiac disease,Q21,Congenital malformations of cardiac septa
Congenital cardiac disease,Q21.4,Aortopulmonary septal defect
Congenital cardiac disease,Q20.0,Common arterial trunk
Congenital cardiac disease,Q20.3,Discordant ventriculoarterial connection
Congenital cardiac disease,Q20.1,Double outlet right ventricle
Congenital cardiac disease,Q20.5,Discordant atrioventricular connection
Congenital cardiac disease,Q21.3,Tetralogy of Fallot
Congenital cardiac disease,Q21.8,Other congenital malformations of cardiac septa
Congenital cardiac disease,Q20.4,Double inlet ventricle
Congenital cardiac disease,Q21.0,Ventricular septal defect
Congenital cardiac disease,Q20.8,Other congenital malformations of cardiac chambers and connections
Congenital cardiac disease,I27.8,Other specified pulmonary heart diseases
Congenital cardiac disease,Q21.1,Atrial septal defect
Congenital cardiac disease,Q21.2,Atrioventricular septal defect
Congenital cardiac disease,Q21.9,"Congenital malformation of cardiac septum, unspecified"
Congenital cardiac disease,Q24,Other congenital malformations of heart
Congenital cardiac disease,Q22.6,Hypoplastic right heart syndrome
Congenital cardiac disease,Q22.3,Other congenital malformations of pulmonary valve
Congenital cardiac disease,Q22.4,Congenital tricuspid stenosis
Congenital cardiac disease,Q22.5,Ebstein anomaly
Congenital cardiac disease,Q23.1,Congenital insufficiency of aortic valve
Congenital cardiac disease,Q23.2,Congenital mitral stenosis
Congenital cardiac disease,Q23.8,Other congenital malformations of aortic and mitral valves
Congenital cardiac disease,Q23.3,Congenital mitral insufficiency
Congenital cardiac disease,Q23.4,Hypoplastic left heart syndrome
Congenital cardiac disease,Q24.9,"Congenital malformation of heart, unspecified"
Congenital cardiac disease,Q22.9,"Congenital malformation of tricuspid valve, unspecified"
Congenital cardiac disease,Q24.6,Congenital heart block
Congenital cardiac disease,Q24.8,Other specified congenital malformations of heart
Congenital cardiac disease,Q25.1,Coarctation of aorta
Congenital cardiac disease,Q25.4,Other congenital malformations of aorta
Congenital cardiac disease,Q25.6,Stenosis of pulmonary artery
