"Disease","ICD10code","ICD10codeDescr"
"Autoimmune skin conditions","H13.3","Ocular pemphigoid"
"Autoimmune skin conditions","L10","Pemphigus"
"Autoimmune skin conditions","L10.0","Pemphigus vulgaris"
"Autoimmune skin conditions","L10.1","Pemphigus vegetans"
"Autoimmune skin conditions","L10.2","Pemphigus foliaceus"
"Autoimmune skin conditions","L10.3","Brazilian pemphigus [fogo selvagem]"
"Autoimmune skin conditions","L10.4","Pemphigus erythematosus"
"Autoimmune skin conditions","L10.5","Drug-induced pemphigus"
"Autoimmune skin conditions","L10.8","Other pemphigus"
"Autoimmune skin conditions","L10.9","Pemphigus, unspecified"
"Autoimmune skin conditions","L12","Pemphigoid"
"Autoimmune skin conditions","L12.0","Bullous pemphigoid"
"Autoimmune skin conditions","L12.1","Cicatricial pemphigoid"
"Autoimmune skin conditions","L12.8","Other pemphigoid"
"Autoimmune skin conditions","L12.9","Pemphigoid, unspecified"
"Autoimmune skin conditions","L13.0","Dermatitis herpetiformis"
