Disease,ICD10code,ICD10codeDescr
Immunodeficiencies,D80,Immunodeficiency with predominantly antibody defects
Immunodeficiencies,D81,Combined immunodeficiencies
Immunodeficiencies,D82,Immunodeficiency associated with other major defects
Immunodeficiencies,D83,Common variable immunodeficiency
Immunodeficiencies,D84.0,Lymphocyte function antigen-1 [LFA-1] defect
Immunodeficiencies,D84.8,Other specified immunodeficiencies
Immunodeficiencies,D84.9,Immunodeficiency
Immunodeficiencies,D80.9,"Immunodeficiency with predominantly antibody defects, unspecified"
Immunodeficiencies,D80.1,Nonfamilial hypogammaglobulinaemia
Immunodeficiencies,D80.2,Selective deficiency of immunoglobulin A [IgA]
Immunodeficiencies,D80.4,Selective deficiency of immunoglobulin M [IgM]
Immunodeficiencies,D80.3,Selective deficiency of immunoglobulin G [IgG] subclasses
Immunodeficiencies,D80.8,Other immunodeficiencies with predominantly antibody defects
Immunodeficiencies,D80.0,Hereditary hypogammaglobulinaemia
Immunodeficiencies,D80.5,Immunodeficiency with increased immunoglobulin M [IgM]
Immunodeficiencies,D83.9,"Common variable immunodeficiency, unspecified"
Immunodeficiencies,D80.7,Transient hypogammaglobulinaemia of infancy
Immunodeficiencies,D82.1,Di George syndrome
Immunodeficiencies,D82.0,Wiskott-Aldrich syndrome
Immunodeficiencies,D81.9,"Combined immunodeficiency, unspecified"
Immunodeficiencies,D81.0,Severe combined immunodeficiency [SCID] with reticular dysgenesis
Immunodeficiencies,D81.3,Adenosine deaminase [ADA] deficiency
Immunodeficiencies,D81.5,Purine nucleoside phosphorylase [PNP] deficiency
Immunodeficiencies,D81.6,Major histocompatibility complex class I deficiency
Immunodeficiencies,D81.7,Major histocompatibility complex class II deficiency
Immunodeficiencies,D84.9,"Immunodeficiency, unspecified"
Immunodeficiencies,D82.2,Immunodeficiency with short-limbed stature
Immunodeficiencies,D82.4,Hyperimmunoglobulin E [IgE] syndrome
Immunodeficiencies,D81.8,Other combined immunodeficiencies
Immunodeficiencies,D83.8,Other common variable immunodeficiencies
