Condition,ReadCode,MedCode,ReadTerm
Alcohol dependence and related disease,136a.00,102665,Increasing risk drinking
Alcohol dependence and related disease,136K.00,12982,Alcohol intake above recommended sensible limits
Alcohol dependence and related disease,136S.00,19494,Hazardous alcohol use
Alcohol dependence and related disease,136T.00,30695,Harmful alcohol use
Alcohol dependence and related disease,136W.00,94670,Alcohol misuse
Alcohol dependence and related disease,13Y8.00,18156,Alcoholics anonymous
Alcohol dependence and related disease,1462.00,8430,H/O: alcoholism
Alcohol dependence and related disease,1B1c.00,38061,Alcohol induced hallucinations
Alcohol dependence and related disease,2126C00,109108,Alcohol dependence resolved
Alcohol dependence and related disease,66e..00,12442,Alcohol disorder monitoring
Alcohol dependence and related disease,66e0.00,32964,Alcohol abuse monitoring
Alcohol dependence and related disease,7P22100,56410,Delivery of rehabilitation for alcohol addiction
Alcohol dependence and related disease,8BA8.00,2083,Alcohol detoxification
Alcohol dependence and related disease,8BAs.00,110624,Alcohol relapse prevention
Alcohol dependence and related disease,8BAu.00,110494,Alcohol harm reduction programme
Alcohol dependence and related disease,8CAv.00,97309,Advised to contact primary care alcohol worker
Alcohol dependence and related disease,8CdK.00,109668,Specialist alcohol treatment service signposted
Alcohol dependence and related disease,8G32.00,29691,Aversion therapy - alcoholism
Alcohol dependence and related disease,8H35.00,21650,Admitted to alcohol detoxification centre
Alcohol dependence and related disease,8H7p.00,9849,Referral to community alcohol team
Alcohol dependence and related disease,8HHe.00,12554,Referral to community drug and alcohol team
Alcohol dependence and related disease,8HkG.00,94553,Referral to specialist alcohol treatment service
Alcohol dependence and related disease,8HkJ.00,96993,Referral to alcohol brief intervention service
Alcohol dependence and related disease,8IAF.00,97261,Brief intervention for excessive alcohol consumption declined
Alcohol dependence and related disease,8IAJ.00,97680,Declined referral to specialist alcohol treatment service
Alcohol dependence and related disease,8IAt.00,102247,Extended intervention for excessive alcohol consumption declined
Alcohol dependence and related disease,8IEA.00,103459,Referral to community alcohol team declined
Alcohol dependence and related disease,8W2..00,109105,Referral to mental health services deferred until alcohol misuse resolved
Alcohol dependence and related disease,9k1..00,11740,Alcohol misuse - enhanced services administration
Alcohol dependence and related disease,9k10.00,12496,Community detoxification registered
Alcohol dependence and related disease,9k11.00,35330,Alcohol consumption counselling
Alcohol dependence and related disease,9k12.00,63529,Alcohol misuse - enhanced service completed
Alcohol dependence and related disease,9k1A.00,96053,Brief intervention for excessive alcohol consumptn completed
Alcohol dependence and related disease,9k1B.00,96054,Extended intervention for excessive alcohol consumptn complt
Alcohol dependence and related disease,9NgzH00,110382,Withdrawn from alcohol detoxification programme
Alcohol dependence and related disease,9NJz.00,108644,In-house alcohol detoxification
Alcohol dependence and related disease,9NN2.00,9489,Under care of community alcohol team
Alcohol dependence and related disease,C150500,65754,Alcohol-induced pseudo-Cushing's syndrome
Alcohol dependence and related disease,C251.11,4501,Wernicke's encephalopathy
Alcohol dependence and related disease,C253.00,11107,Wernicke's encephalopathy
Alcohol dependence and related disease,E01..00,16237,Alcoholic psychoses
Alcohol dependence and related disease,E010.00,16225,Alcohol withdrawal delirium
Alcohol dependence and related disease,E010.11,22277,DTs - delirium tremens
Alcohol dependence and related disease,E010.12,1476,Delirium tremens
Alcohol dependence and related disease,E011.00,20762,Alcohol amnestic syndrome
Alcohol dependence and related disease,E011000,4500,Korsakov's alcoholic psychosis
Alcohol dependence and related disease,E011100,11106,Korsakov's alcoholic psychosis with peripheral neuritis
Alcohol dependence and related disease,E011200,18636,Wernicke-Korsakov syndrome
Alcohol dependence and related disease,E011z00,41920,Alcohol amnestic syndrome NOS
Alcohol dependence and related disease,E012.00,54505,Other alcoholic dementia
Alcohol dependence and related disease,E012.11,27342,Alcoholic dementia NOS
Alcohol dependence and related disease,E012000,37946,Chronic alcoholic brain syndrome
Alcohol dependence and related disease,E013.00,25110,Alcohol withdrawal hallucinosis
Alcohol dependence and related disease,E014.00,57939,Pathological alcohol intoxication
Alcohol dependence and related disease,E015.00,30404,Alcoholic paranoia
Alcohol dependence and related disease,E01y.00,33670,Other alcoholic psychosis
Alcohol dependence and related disease,E01y000,2082,Alcohol withdrawal syndrome
Alcohol dependence and related disease,E01yz00,68111,Other alcoholic psychosis NOS
Alcohol dependence and related disease,E01z.00,67651,Alcoholic psychosis NOS
Alcohol dependence and related disease,E23..00,2084,Alcohol dependence syndrome
Alcohol dependence and related disease,E23..11,2081,Alcoholism
Alcohol dependence and related disease,E23..12,1399,Alcohol problem drinking
Alcohol dependence and related disease,E230.00,5740,Acute alcoholic intoxication in alcoholism
Alcohol dependence and related disease,E230.11,57714,Alcohol dependence with acute alcoholic intoxication
Alcohol dependence and related disease,E230000,40530,"Acute alcoholic intoxication, unspecified, in alcoholism"
Alcohol dependence and related disease,E230100,56947,Continuous acute alcoholic intoxication in alcoholism
Alcohol dependence and related disease,E230200,21624,Episodic acute alcoholic intoxication in alcoholism
Alcohol dependence and related disease,E230300,59574,"Acute alcoholic intoxication in remission, in alcoholism"
Alcohol dependence and related disease,E230z00,36296,Acute alcoholic intoxication in alcoholism NOS
Alcohol dependence and related disease,E231.00,31443,Chronic alcoholism
Alcohol dependence and related disease,E231.11,37605,Dipsomania
Alcohol dependence and related disease,E231000,43193,Unspecified chronic alcoholism
Alcohol dependence and related disease,E231100,24064,Continuous chronic alcoholism
Alcohol dependence and related disease,E231200,26106,Episodic chronic alcoholism
Alcohol dependence and related disease,E231300,24485,Chronic alcoholism in remission
Alcohol dependence and related disease,E231z00,33635,Chronic alcoholism NOS
Alcohol dependence and related disease,E23z.00,6169,Alcohol dependence syndrome NOS
Alcohol dependence and related disease,E250100,23610,"Nondependent alcohol abuse, continuous"
Alcohol dependence and related disease,E250200,12974,"Nondependent alcohol abuse, episodic"
Alcohol dependence and related disease,Eu10.00,5611,[X]Mental and behavioural disorders due to use of alcohol
Alcohol dependence and related disease,Eu10100,21879,[X]Mental and behav dis due to use of alcohol: harmful use
Alcohol dependence and related disease,Eu10200,39327,[X]Mental and behav dis due to use alcohol: dependence syndr
Alcohol dependence and related disease,Eu10211,28780,[X]Alcohol addiction
Alcohol dependence and related disease,Eu10212,5758,[X]Chronic alcoholism
Alcohol dependence and related disease,Eu10213,69691,[X]Dipsomania
Alcohol dependence and related disease,Eu10300,20514,[X]Mental and behav dis due to use alcohol: withdrawal state
Alcohol dependence and related disease,Eu10400,64101,[X]Men & behav dis due alcohl: withdrawl state with delirium
Alcohol dependence and related disease,Eu10411,17259,"[X]Delirium tremens, alcohol induced"
Alcohol dependence and related disease,Eu10500,12353,[X]Mental & behav dis due to use alcohol: psychotic disorder
Alcohol dependence and related disease,Eu10511,6467,[X]Alcoholic hallucinosis
Alcohol dependence and related disease,Eu10512,65932,[X]Alcoholic jealousy
Alcohol dependence and related disease,Eu10513,30162,[X]Alcoholic paranoia
Alcohol dependence and related disease,Eu10514,17607,[X]Alcoholic psychosis NOS
Alcohol dependence and related disease,Eu10600,39799,[X]Mental and behav dis due to use alcohol: amnesic syndrome
Alcohol dependence and related disease,Eu10611,11670,"[X]Korsakov's psychosis, alcohol induced"
Alcohol dependence and related disease,Eu10700,62000,[X]Men & behav dis due alcoh: resid & late-onset psychot dis
Alcohol dependence and related disease,Eu10711,26323,[X]Alcoholic dementia NOS
Alcohol dependence and related disease,Eu10712,37691,[X]Chronic alcoholic brain syndrome
Alcohol dependence and related disease,Eu10800,32927,[X]Alcohol withdrawal-induced seizure
Alcohol dependence and related disease,Eu10y00,45169,[X]Men & behav dis due to use alcohol: oth men & behav dis
Alcohol dependence and related disease,Eu10z00,64389,[X]Ment & behav dis due use alcohol: unsp ment & behav dis
Alcohol dependence and related disease,F11x000,47555,Cerebral degeneration due to alcoholism
Alcohol dependence and related disease,F11x011,36748,Alcoholic encephalopathy
Alcohol dependence and related disease,F144000,33839,Cerebellar ataxia due to alcoholism
Alcohol dependence and related disease,F25B.00,30604,Alcohol-induced epilepsy
Alcohol dependence and related disease,F375.00,2925,Alcoholic polyneuropathy
Alcohol dependence and related disease,F394100,31742,Alcoholic myopathy
Alcohol dependence and related disease,G555.00,4915,Alcoholic cardiomyopathy
Alcohol dependence and related disease,G852300,8363,Oesophageal varices in alcoholic cirrhosis of the liver
Alcohol dependence and related disease,J153.00,4506,Alcoholic gastritis
Alcohol dependence and related disease,J610.00,10691,Alcoholic fatty liver
Alcohol dependence and related disease,J611.00,3216,Acute alcoholic hepatitis
Alcohol dependence and related disease,J612.00,4743,Alcoholic cirrhosis of liver
Alcohol dependence and related disease,J612000,21713,Alcoholic fibrosis and sclerosis of liver
Alcohol dependence and related disease,J613.00,7885,Alcoholic liver damage unspecified
Alcohol dependence and related disease,J613000,17330,Alcoholic hepatic failure
Alcohol dependence and related disease,J617.00,7943,Alcoholic hepatitis
Alcohol dependence and related disease,J617000,7602,Chronic alcoholic hepatitis
Alcohol dependence and related disease,J670800,104611,Alcohol-induced acute pancreatitis
Alcohol dependence and related disease,J671000,24984,Alcohol-induced chronic pancreatitis
Alcohol dependence and related disease,Z191.00,41983,Alcohol detoxification
Alcohol dependence and related disease,Z191100,46677,Alcohol withdrawal regime
Alcohol dependence and related disease,Z191200,61383,Planned reduction of alcohol consumption
Alcohol dependence and related disease,Z191211,95181,Alcohol reduction programme
Alcohol dependence and related disease,Z4B1.00,30460,Alcoholism counselling
Alcohol dependence and related disease,ZV11300,7123,[V]Personal history of alcoholism
Alcohol dependence and related disease,ZV11311,16587,[V]Problems related to lifestyle alcohol use
Alcohol dependence and related disease,ZV57A00,8388,[V]Alcohol rehabilitation
Alcohol dependence and related disease,ZV6D600,8030,[V]Alcohol abuse counselling and surveillance
