Condition,Prodcode,Gemscriptcode,ProductName,Aurum
Constipation,12,63906020,Lactulose 3.35g/5ml Oral solution,MULTIPLY_ProdcodeID_constipation
Constipation,52,66580020,Senna 7.5mg tablets,MULTIPLY_ProdcodeID_constipation
Constipation,54,58283020,Fybogel sugar free Granules (Reckitt Benckiser Healthcare (UK) Ltd),MULTIPLY_ProdcodeID_constipation
Constipation,171,58306020,Senokot 7.5mg tablets (Reckitt Benckiser Healthcare (UK) Ltd),MULTIPLY_ProdcodeID_constipation
Constipation,174,73609020,Milk of magnesia Liquid (Sterling-Winthrop),MULTIPLY_ProdcodeID_constipation
Constipation,358,68225020,Co-danthrusate 50mg/60mg capsules,MULTIPLY_ProdcodeID_constipation
Constipation,1026,52040020,Fybogel Mebeverine effervescent granules sachets orange (Reckitt Benckiser Healthcare (UK) Ltd),MULTIPLY_ProdcodeID_constipation
Constipation,1207,52561020,Micolette Micro-enema 5ml (Pinewood Healthcare),MULTIPLY_ProdcodeID_constipation
Constipation,1227,66411020,Ispaghula husk gluten-free sugar free granules,MULTIPLY_ProdcodeID_constipation
Constipation,1435,50397020,Micralax micro Enema (UCB Pharma Ltd),MULTIPLY_ProdcodeID_constipation
Constipation,1561,72423020,Co-danthramer 25mg/200mg/5ml oral suspension sugar free,MULTIPLY_ProdcodeID_constipation
Constipation,1655,2376007,ISPAGHULA HUSK 66 % GRA,MULTIPLY_ProdcodeID_constipation
Constipation,1701,53840020,Lactitol 10g Powder,MULTIPLY_ProdcodeID_constipation
Constipation,1858,66581020,Senna 7.5mg/5ml oral solution,MULTIPLY_ProdcodeID_constipation
Constipation,2063,68226020,Co-danthrusate 50mg/60mg/5ml oral suspension sugar free,MULTIPLY_ProdcodeID_constipation
Constipation,2173,52469020,Magnesium sulfate mixture,MULTIPLY_ProdcodeID_constipation
Constipation,2337,66417020,Ispaghula husk 3.4g oral powder sachets gluten free sugar free,MULTIPLY_ProdcodeID_constipation
Constipation,2364,48595020,Celevac 500mg tablets (AMCo),MULTIPLY_ProdcodeID_constipation
Constipation,2451,67675020,Bisacodyl 5mg gastro-resistant tablets,MULTIPLY_ProdcodeID_constipation
Constipation,2468,62781020,Docusate 100mg capsules,MULTIPLY_ProdcodeID_constipation
Constipation,2494,68582020,Manevac granules (Meda Pharmaceuticals Ltd),MULTIPLY_ProdcodeID_constipation
Constipation,2582,66416020,Ispaghula husk gluten-free sugar free 3.6g effervesant powder,MULTIPLY_ProdcodeID_constipation
Constipation,2699,62769020,Docusate sodium 100mg tablets,MULTIPLY_ProdcodeID_constipation
Constipation,2770,69611020,Bisacodyl 5mg suppositories,MULTIPLY_ProdcodeID_constipation
Constipation,2771,69612020,Bisacodyl 10mg suppositories,MULTIPLY_ProdcodeID_constipation
Constipation,2861,54288020,Magnesium hydroxide oral suspension,MULTIPLY_ProdcodeID_constipation
Constipation,2905,62797020,Docusol Paediatric 12.5mg/5ml oral solution (Typharm Ltd),MULTIPLY_ProdcodeID_constipation
Constipation,2989,52447020,Glycerol 1g suppositories,MULTIPLY_ProdcodeID_constipation
Constipation,2993,49976020,Isogel Granules (Pfizer Consumer Healthcare Ltd),MULTIPLY_ProdcodeID_constipation
Constipation,3098,51360020,Regulan 3.4g Powder (Procter & Gamble (Health & Beauty Care) Ltd),MULTIPLY_ProdcodeID_constipation
Constipation,3106,62793020,Dioctyl 100mg Capsule (Schwarz Pharma Ltd),MULTIPLY_ProdcodeID_constipation
Constipation,3149,64544020,Methylcellulose 500mg tablets,MULTIPLY_ProdcodeID_constipation
Constipation,3160,52448020,Glycerol 2g suppositories,MULTIPLY_ProdcodeID_constipation
Constipation,3245,66673020,Sodium picosulfate 5mg/5ml oral solution sugar free,MULTIPLY_ProdcodeID_constipation
Constipation,3247,66678020,Picolax oral powder 16.1g sachets (Ferring Pharmaceuticals Ltd),MULTIPLY_ProdcodeID_constipation
Constipation,3315,49098020,Dorbanex forte Liquid (3M Health Care Ltd),MULTIPLY_ProdcodeID_constipation
Constipation,3337,54984020,Normacol Granules (Norgine Pharmaceuticals Ltd),MULTIPLY_ProdcodeID_constipation
