"Condition","Prodcode","Gemscriptcode","ProductName","Aurum"
"Painful conditions",790,"88034020","Pregabalin 25mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",819,"88038020","Pregabalin 75mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",6584,"88052020","Lyrica 75mg capsules (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",6631,"88042020","Pregabalin 150mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",6936,"88036020","Pregabalin 50mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",6949,"88044020","Pregabalin 200mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",6999,"88040020","Pregabalin 100mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",7005,"88046020","Pregabalin 300mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",7208,"88054020","Lyrica 100mg capsules (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",7209,"88050020","Lyrica 50mg capsules (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",7394,"88058020","Lyrica 200mg capsules (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",10189,"88060020","Lyrica 300mg capsules (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",16509,"88056020","Lyrica 150mg capsules (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",16542,"88048020","Lyrica 25mg capsules (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",37801,"94315020","Pregabalin 225mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",38293,"94317020","Lyrica 225mg capsules (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",48253,"10912020","Lyrica 150mg capsules (Lexon (UK) Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",51227,"41880020","Pregabalin 20mg/ml oral solution sugar free","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",51924,"41881020","Lyrica 20mg/ml oral solution (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",52547,"10932020","Lyrica 50mg capsules (Waymade Healthcare Plc)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",55972,"35980020","Pregabalin 150mg/5ml oral solution","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",60543,"35334020","Pregabalin 75mg/5ml oral solution","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",4,"58897020","Co-proxamol 32.5mg/325mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",7,"58932020","Paracetamol 500mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",11,"62553020","Co-dydramol 10mg/500mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",15,"59355020","Ibuprofen 400mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",19,"60971020","Co-codamol 8mg/500mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",40,"83872020","Diclofenac sodium 50mg gastro-resistant tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",53,"62538020","Dihydrocodeine 30mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",57,"60972020","Co-codamol 8mg/500mg effervescent tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",86,"75786020","Tramadol 50mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",96,"80055020","Co-codamol 30mg/500mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",112,"72458020","Ibuprofen 5% cream","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",120,"49932020","Indocid 25mg capsules (Merck Sharp & Dohme Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",123,"49528020","Fortral 30mg/ml Injection (Sterwin Medicines)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",124,"49037020","Distalgesic 32.5mg/325mg tablets (Meda Pharmaceuticals Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",126,"51186020","Ponstan 250mg capsules (Chemidex Pharma Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",129,"57759020","Naprosyn 500mg suppositories (Roche Products Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",139,"65977020","Paracetamol 500mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",140,"64941020","Naproxen 500mg suppositories","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",141,"65858020","Piroxicam 10mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",142,"4100007","CODEINE SOLUBLE TAB","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",148,"3652007","MORPHINE 60 MG SUP","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",158,"52434020","Codeine 30mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",162,"74346020","Arthrotec 50 gastro-resistant tablets (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",166,"3621007","PAPAVERETUM 20 MG INJ","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",167,"65704020","Butacote 100mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",175,"2137007","PARACETAMOL 1 GM SUP","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",177,"58913020","Indometacin 25mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",187,"75791020","Zydol 50mg capsules (Grunenthal Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",191,"62539020","Dihydrocodeine 10mg/5ml oral solution","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",203,"2818007","CODEINE CO SOLUBLE TAB","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",213,"52438020","Codeine 25mg/5ml oral solution","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",215,"4856007","IBUPROFEN 200 MG CAP","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",231,"2169007","OMNOPON 20 MG INJ","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",234,"69166020","Pethidine 25mg tablet","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",241,"4104007","CODEINE CO TAB","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",249,"51091020","Pethidine 10mg/ml injection","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",258,"54171020","Panadol 500mg tablets (GlaxoSmithKline Consumer Healthcare)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",259,"59793020","Mefenamic acid 250mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",262,"65976020","Paracetamol 250mg/5ml oral suspension","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",296,"51182020","Ponstan Forte 500mg tablets (Chemidex Pharma Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",315,"5256007","BRUFEN SUP","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",316,"5712007","PHENYLBUTAZONE 250 MG SUP","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",320,"64276020","Buprenorphine HCl 300micrograms injection","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",328,"71386020","Pentazocine 50mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",341,"49419020","Feldene 10mg capsules (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",344,"73771020","Acemetacin 60mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",345,"3721007","IBUPROFEN S/R 300 MG CAP","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",349,"3184007","VOLTAROL 75 MG INJ","MULTIPLY_ProdcodeID_painful_conditions"
