Readcode;Disease;Medcode;ReadcodeDescr;Category;CodingSystem;Provenance
7718000.0;Diverticular disease of intestine (acute and chronic);34164;Excision of diverticulum of colon;Procedure for Diverticular disease of intestine (acute and chronic);NA;Kuan
J23z300;Diverticular disease of intestine (acute and chronic);68959;Appendicular diverticulum;Diagnosis of Diverticular disease of intestine (acute and chronic);NA;Kuan
J51..00;Diverticular disease of intestine (acute and chronic);8322;Diverticula of intestine;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J51..11;Diverticular disease of intestine (acute and chronic);5857;Diverticular disease;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510.00;Diverticular disease of intestine (acute and chronic);3593;Diverticulosis;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510000;Diverticular disease of intestine (acute and chronic);3538;Diverticulosis of the duodenum;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510100;Diverticular disease of intestine (acute and chronic);27444;Diverticulosis of the jejunum;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510200;Diverticular disease of intestine (acute and chronic);44647;Diverticulosis of the ileum;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510300;Diverticular disease of intestine (acute and chronic);47924;Diverticulosis of the small intestine unspecified;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510400;Diverticular disease of intestine (acute and chronic);73334;Diverticulosis of the small intestine NOS;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510500;Diverticular disease of intestine (acute and chronic);1101;Diverticulosis of the colon;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510600;Diverticular disease of intestine (acute and chronic);53092;Diverticulosis of the large intestine unspecified;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510700;Diverticular disease of intestine (acute and chronic);2536;Diverticulosis of the large intestine NOS;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510800;Diverticular disease of intestine (acute and chronic);17105;Divertic dis/both sml+lge intestin without perfor or abscess;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510900;Diverticular disease of intestine (acute and chronic);2044;Bleeding diverticulosis;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510y00;Diverticular disease of intestine (acute and chronic);49084;Diverticulosis unspecified;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J510z00;Diverticular disease of intestine (acute and chronic);7662;Diverticulosis NOS;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J511.00;Diverticular disease of intestine (acute and chronic);347;Diverticulitis;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J511000;Diverticular disease of intestine (acute and chronic);12345;Diverticulitis of the duodenum;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J511100;Diverticular disease of intestine (acute and chronic);61722;Diverticulitis of the jejunum;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J511200;Diverticular disease of intestine (acute and chronic);61664;Diverticulitis of the ileum;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
J511300;Diverticular disease of intestine (acute and chronic);31365;Diverticulitis of the small intestine unspecified;Diagnosis of Diverticular disease of intestine (acute and chronic);readcode;Kuan and Cambridge
