Readcode,Disease,Medcode,ReadcodeDescr,Category,CodingSystem,Provenance
2BBo.00,Visual impairment and blindness,52630,O/E - sight threatening diabetic retinopathy,Diagnosis of blindness,NA,Kuan
2BBo.00,Diabetic ophthalmic complications,52630,O/E - sight threatening diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,NA,NA
2BBr.00,Visual impairment and blindness,101881,Impaired vision due to diabetic retinopathy,Diagnosis of blindness,NA,Kuan
2BBr.00,Diabetic ophthalmic complications,101881,Impaired vision due to diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,NA,NA
2BE3.00,Disorders of autonomic nervous system,22097,O/E - Horner's syndrome,Diagnosis of autonomic neuropathy,NA,NA
2BE3.00,Ptosis of eyelid,22097,O/E - Horner's syndrome,Diagnosis of ptosis,NA,NA
7416F00,Nasal polyp,42166,Functional endoscopic sinus surg - polypectomy nasal sinus,Procedure for Nasal polyp,NA,NA
7416F00,Chronic sinusitis,42166,Functional endoscopic sinus surg - polypectomy nasal sinus,NA,readcode,Cambridge
9NfB.00,Visual impairment and blindness,105795,Requires deafblind communicator guide,Diagnosis of blindness,NA,Kuan
9NfB.00,Hearing loss,105795,Requires deafblind communicator guide,Diagnosis of Hearing loss,NA,Kuan
A115.00,Bronchiectasis,15693,Tuberculous bronchiectasis,Diagnosis of Bronchiectasis,NA,Kuan
A115.00,Tuberculosis,15693,Tuberculous bronchiectasis,Diagnosis of tuberculosis,NA,NA
A789500,HIV,27853,HIV disease resulting in Kaposi's sarcoma,Diagnosis of HIV,NA,NA
A789500,Primary Malignancy_Other Organs,27853,HIV disease resulting in Kaposi's sarcoma,Diagnosis of Primary Malignancy_Other Organs,NA,NA
A789511,HIV,108054,HIV disease resulting in Kaposi sarcoma,Diagnosis of HIV,NA,NA
A789511,Primary Malignancy_Other Organs,108054,HIV disease resulting in Kaposi sarcoma,Diagnosis of Primary Malignancy_Other Organs,NA,NA
A789600,HIV,44617,HIV disease resulting in Burkitt's lymphoma,Diagnosis of HIV,NA,NA
A789600,Non-Hodgkin Lymphoma,44617,HIV disease resulting in Burkitt's lymphoma,Diagnosis of Non-Hodgkin Lymphoma,NA,NA
A789700,HIV,66367,HIV dis resulting oth types of non-Hodgkin's lymphoma,Diagnosis of HIV,NA,NA
A789700,Non-Hodgkin Lymphoma,66367,HIV dis resulting oth types of non-Hodgkin's lymphoma,Diagnosis of Non-Hodgkin Lymphoma,NA,NA
AyuC600,HIV,69767,[X]HIV disease resulting in other non-Hodgkin's lymphoma,Diagnosis of HIV,NA,NA
AyuC600,Non-Hodgkin Lymphoma,69767,[X]HIV disease resulting in other non-Hodgkin's lymphoma,Diagnosis of Non-Hodgkin Lymphoma,NA,NA
B62x500,Non-Hodgkin Lymphoma,58962,Malignant immunoproliferative small intestinal disease,Diagnosis of Non-Hodgkin Lymphoma,NA,NA
B62x500,Primary Malignancy_Other Organs,58962,Malignant immunoproliferative small intestinal disease,Possible Diagnosis of Primary Malignancy_Other Organs,NA,NA
B63z.00,Multiple myeloma and malignant plasma cell neoplasms,43450,Immunoproliferative neoplasm or myeloma NOS,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms,NA,NA
B63z.00,Primary Malignancy_Other Organs,43450,Immunoproliferative neoplasm or myeloma NOS,Possible Diagnosis of Primary Malignancy_Other Organs,NA,NA
BB5D700,Primary Malignancy_biliary tract,107299,[M]Combined hepatocellular carcinoma and cholangiocarcinoma,Diagnosis of Primary Malignancy_biliary tract,NA,NA
BB5D700,Primary Malignancy_Liver,107299,[M]Combined hepatocellular carcinoma and cholangiocarcinoma,Diagnosis of Primary Malignancy_Liver,NA,NA
BB5D711,Primary Malignancy_biliary tract,110147,[M]Hepatocholangiocarcinoma,Diagnosis of Primary Malignancy_biliary tract,NA,NA
BB5D711,Primary Malignancy_Liver,110147,[M]Hepatocholangiocarcinoma,Diagnosis of Primary Malignancy_Liver,NA,NA
ByuC600,Primary Malignancy_Other Organs,68332,[X]2ndry malignant neoplasm/oth+unspec parts/nervous system,Possible Diagnosis of Primary Malignancy_Other Organs,NA,NA
ByuC600,Secondary Malignancy_Other organs,68332,[X]2ndry malignant neoplasm/oth+unspec parts/nervous system,Possible diagnosis of Secondary Malignancy_Other organs,NA,NA
C105.00,Diabetic ophthalmic complications,33254,Diabetes mellitus with ophthalmic manifestation,Diagnosis of diabetic ophthalmic complications,NA,NA
C105.00,Diabetes,33254,Diabetes mellitus with ophthalmic manifestation,NA,readcode,Cambridge
C105000,Diabetic ophthalmic complications,69748,"Diabetes mellitus, juvenile type, + ophthalmic manifestation",Diagnosis of diabetic ophthalmic complications,NA,NA
C105000,Diabetes,69748,"Diabetes mellitus, juvenile type, + ophthalmic manifestation",NA,readcode,Cambridge
C105100,Diabetic ophthalmic complications,41389,"Diabetes mellitus, adult onset, + ophthalmic manifestation",Diagnosis of diabetic ophthalmic complications,NA,NA
C105100,Diabetes,41389,"Diabetes mellitus, adult onset, + ophthalmic manifestation",NA,readcode,Cambridge
C105y00,Diabetic ophthalmic complications,47377,Other specified diabetes mellitus with ophthalmic complicatn,Diagnosis of diabetic ophthalmic complications,NA,NA
C105y00,Diabetes,47377,Other specified diabetes mellitus with ophthalmic complicatn,NA,readcode,Cambridge
C105z00,Diabetic ophthalmic complications,34283,Diabetes mellitus NOS with ophthalmic manifestation,Diagnosis of diabetic ophthalmic complications,NA,NA
C105z00,Diabetes,34283,Diabetes mellitus NOS with ophthalmic manifestation,NA,readcode,Cambridge
C106.00,Diabetic neurological complications,16230,Diabetes mellitus with neurological manifestation,Diagnosis of diabetic neurological complications,NA,NA
C106.00,Diabetes,16230,Diabetes mellitus with neurological manifestation,NA,readcode,Cambridge
C106.11,Diabetic neurological complications,59903,Diabetic amyotrophy,Diagnosis of diabetic neurological complications,NA,NA
C106.11,Diabetes,59903,Diabetic amyotrophy,NA,readcode,Cambridge
C106.12,Diabetic neurological complications,7795,Diabetes mellitus with neuropathy,Diagnosis of diabetic neurological complications,NA,NA
C106.12,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),7795,Diabetes mellitus with neuropathy,Diagnosis of peripheral neuropathy,NA,NA
C106.12,Diabetes,7795,Diabetes mellitus with neuropathy,NA,readcode,Cambridge
C106.13,Diabetic neurological complications,16491,Diabetes mellitus with polyneuropathy,Diagnosis of diabetic neurological complications,NA,NA
C106.13,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),16491,Diabetes mellitus with polyneuropathy,Diagnosis of peripheral neuropathy,NA,NA
C106.13,Diabetes,16491,Diabetes mellitus with polyneuropathy,NA,readcode,Cambridge
C106000,Diabetic neurological complications,67853,"Diabetes mellitus, juvenile, + neurological manifestation",Diagnosis of diabetic neurological complications,NA,NA
C106000,Diabetes,67853,"Diabetes mellitus, juvenile, + neurological manifestation",NA,readcode,Cambridge
C106100,Diabetic neurological complications,39317,"Diabetes mellitus, adult onset, + neurological manifestation",Diagnosis of diabetic neurological complications,NA,NA
C106100,Diabetes,39317,"Diabetes mellitus, adult onset, + neurological manifestation",NA,readcode,Cambridge
C106y00,Diabetic neurological complications,61523,Other specified diabetes mellitus with neurological comps,Diagnosis of diabetic neurological complications,NA,NA
C106y00,Diabetes,61523,Other specified diabetes mellitus with neurological comps,NA,readcode,Cambridge
C106z00,Diabetic neurological complications,22573,Diabetes mellitus NOS with neurological manifestation,Diagnosis of diabetic neurological complications,NA,NA
C106z00,Diabetes,22573,Diabetes mellitus NOS with neurological manifestation,NA,readcode,Cambridge
C107.00,Diabetes,35399,Diabetes mellitus with peripheral circulatory disorder,NA,readcode,Cambridge
C107.00,Peripheral arterial disease,35399,Diabetes mellitus with peripheral circulatory disorder,Peripheral vascular disease (7),NA,Kuan
C107000,Diabetes,70448,"Diabetes mellitus, juvenile +peripheral circulatory disorder",NA,readcode,Cambridge
